case,model,item,arm,trial,asked,hit,n_requested,targeted,final_correct,gold_corresponds
underspecified_pairs,gpt-5-mini,it6-delaybound,request,1,1,1,2,0,1,False
underspecified_pairs,gpt-5-mini,it6-delaybound,request,2,1,1,2,0,1,False
underspecified_pairs,gpt-5-nano,it1-segment,surface_only,0,0,0,0,0,1,False
underspecified_pairs,gpt-5-nano,it1-segment,surface_only,1,0,0,0,0,1,False
underspecified_pairs,gpt-5-nano,it1-segment,surface_only,2,0,0,0,0,1,False
underspecified_pairs,gpt-5-nano,it1-segment,request,0,0,0,0,0,1,False
underspecified_pairs,gpt-5-nano,it1-segment,request,1,1,1,3,0,1,False
underspecified_pairs,gpt-5-nano,it1-segment,request,2,1,1,3,0,1,False
underspecified_pairs,gpt-5-nano,it2-latency,surface_only,0,0,0,0,0,0,True
underspecified_pairs,gpt-5-nano,it2-latency,surface_only,1,0,0,0,0,0,True
underspecified_pairs,gpt-5-nano,it2-latency,surface_only,2,0,0,0,0,0,True
underspecified_pairs,gpt-5-nano,it2-latency,request,0,1,0,0,0,0,True
underspecified_pairs,gpt-5-nano,it2-latency,request,1,1,1,3,0,0,True
underspecified_pairs,gpt-5-nano,it2-latency,request,2,1,0,2,0,0,True
underspecified_pairs,gpt-5-nano,it3-grade,surface_only,0,0,0,0,0,1,False
underspecified_pairs,gpt-5-nano,it3-grade,surface_only,1,0,0,0,0,1,False
underspecified_pairs,gpt-5-nano,it3-grade,surface_only,2,0,0,0,0,1,False
underspecified_pairs,gpt-5-nano,it3-grade,request,0,1,0,0,0,1,False
underspecified_pairs,gpt-5-nano,it3-grade,request,1,1,1,3,0,1,False
underspecified_pairs,gpt-5-nano,it3-grade,request,2,1,1,3,0,1,False
underspecified_pairs,gpt-5-nano,it4-protection,surface_only,0,0,0,0,0,0,True
underspecified_pairs,gpt-5-nano,it4-protection,surface_only,1,0,0,0,0,0,True
underspecified_pairs,gpt-5-nano,it4-protection,surface_only,2,0,0,0,0,0,True
underspecified_pairs,gpt-5-nano,it4-protection,request,0,1,1,3,0,0,True
underspecified_pairs,gpt-5-nano,it4-protection,request,1,1,0,0,0,0,True
underspecified_pairs,gpt-5-nano,it4-protection,request,2,1,1,3,0,0,True
underspecified_pairs,gpt-5-nano,it5-endpoint,surface_only,0,0,0,0,0,0,True
underspecified_pairs,gpt-5-nano,it5-endpoint,surface_only,1,0,0,0,0,0,True
underspecified_pairs,gpt-5-nano,it5-endpoint,surface_only,2,0,0,0,0,0,True
underspecified_pairs,gpt-5-nano,it5-endpoint,request,0,1,1,3,0,0,True
underspecified_pairs,gpt-5-nano,it5-endpoint,request,1,1,1,3,0,0,True
underspecified_pairs,gpt-5-nano,it5-endpoint,request,2,0,0,0,0,0,True
underspecified_pairs,gpt-5-nano,it6-delaybound,surface_only,0,0,0,0,0,1,False
underspecified_pairs,gpt-5-nano,it6-delaybound,surface_only,1,0,0,0,0,1,False
underspecified_pairs,gpt-5-nano,it6-delaybound,surface_only,2,0,0,0,0,1,False
underspecified_pairs,gpt-5-nano,it6-delaybound,request,0,1,0,0,0,1,False
underspecified_pairs,gpt-5-nano,it6-delaybound,request,1,1,1,2,0,1,False
underspecified_pairs,gpt-5-nano,it6-delaybound,request,2,1,0,0,0,1,False
