case,rung,ref_case,lifter,consumer,trial,meaning_score,abstention_rate,confabulation_rate,lift_coverage,total_tokens,reasoning_tokens
config_cross_domain,typed,lift-only,gpt-5.6-sol,gpt-5-nano,2,0.6,0.0,0.2,1.0,4213,2176
config_cross_domain,typed,lift+consume,gpt-5.6-sol,gpt-5.6-sol,2,0.4,0.0,0.2,1.0,2679,90
config_cross_domain,typed,lift+consume,gpt-5.6-sol,gpt-5-mini,2,0.6,0.0,0.2,1.0,4480,1472
config_cross_domain,typed,lift+consume,gpt-5.6-sol,gpt-5-nano,2,0.6,0.0,0.2,1.0,4827,2240
config_cross_domain,data,no-ref,gpt-5.6-sol,gpt-5.6-sol,0,0.6,0.0,0.4,1.0,2075,173
config_cross_domain,data,no-ref,gpt-5.6-sol,gpt-5-mini,0,0.6,0.0,0.2,1.0,3743,1600
config_cross_domain,data,no-ref,gpt-5.6-sol,gpt-5-nano,0,0.8,0.0,0.2,1.0,4319,2368
config_cross_domain,data,lift-only,gpt-5.6-sol,gpt-5.6-sol,0,0.8,0.0,0.2,1.0,2023,83
config_cross_domain,data,lift-only,gpt-5.6-sol,gpt-5-mini,0,0.6,0.0,0.2,1.0,3842,1536
config_cross_domain,data,lift-only,gpt-5.6-sol,gpt-5-nano,0,0.8,0.0,0.2,1.0,4340,2304
config_cross_domain,data,lift+consume,gpt-5.6-sol,gpt-5.6-sol,0,0.8,0.0,0.2,1.0,2684,125
config_cross_domain,data,lift+consume,gpt-5.6-sol,gpt-5-mini,0,0.8,0.0,0.2,1.0,4720,1728
config_cross_domain,data,lift+consume,gpt-5.6-sol,gpt-5-nano,0,0.8,0.0,0.2,1.0,6296,3712
config_cross_domain,data,no-ref,gpt-5.6-sol,gpt-5.6-sol,1,0.6,0.0,0.2,1.0,2074,214
config_cross_domain,data,no-ref,gpt-5.6-sol,gpt-5-mini,1,0.4,0.0,0.2,1.0,3342,1152
config_cross_domain,data,no-ref,gpt-5.6-sol,gpt-5-nano,1,0.6,0.0,0.2,1.0,3911,1984
config_cross_domain,data,lift-only,gpt-5.6-sol,gpt-5.6-sol,1,0.8,0.0,0.2,1.0,2045,98
config_cross_domain,data,lift-only,gpt-5.6-sol,gpt-5-mini,1,0.8,0.0,0.2,1.0,3336,1152
config_cross_domain,data,lift-only,gpt-5.6-sol,gpt-5-nano,1,0.8,0.0,0.2,1.0,5088,2880
config_cross_domain,data,lift+consume,gpt-5.6-sol,gpt-5.6-sol,1,0.8,0.0,0.2,1.0,2698,129
config_cross_domain,data,lift+consume,gpt-5.6-sol,gpt-5-mini,1,0.8,0.0,0.2,1.0,4599,1536
config_cross_domain,data,lift+consume,gpt-5.6-sol,gpt-5-nano,1,0.8,0.0,0.2,1.0,5464,2752
config_cross_domain,data,no-ref,gpt-5.6-sol,gpt-5.6-sol,2,0.6,0.0,0.2,1.0,2005,83
config_cross_domain,data,no-ref,gpt-5.6-sol,gpt-5-mini,2,0.4,0.0,0.2,1.0,3010,832
config_cross_domain,data,no-ref,gpt-5.6-sol,gpt-5-nano,2,0.6,0.0,0.2,1.0,4391,2432
config_cross_domain,data,lift-only,gpt-5.6-sol,gpt-5.6-sol,2,0.8,0.0,0.2,1.0,2098,159
config_cross_domain,data,lift-only,gpt-5.6-sol,gpt-5-mini,2,0.6,0.0,0.2,1.0,3118,960
config_cross_domain,data,lift-only,gpt-5.6-sol,gpt-5-nano,2,0.8,0.0,0.2,1.0,4706,2624
config_cross_domain,data,lift+consume,gpt-5.6-sol,gpt-5.6-sol,2,0.8,0.0,0.2,1.0,2716,139
config_cross_domain,data,lift+consume,gpt-5.6-sol,gpt-5-mini,2,0.8,0.0,0.2,1.0,4203,1408
config_cross_domain,data,lift+consume,gpt-5.6-sol,gpt-5-nano,2,0.8,0.0,0.2,1.0,5679,2944
config_big_hard,named,no-ref,gpt-5.6-sol,gpt-5.6-sol,0,0.667,0.167,0.0,1.0,4138,189
config_big_hard,named,no-ref,gpt-5.6-sol,gpt-5-mini,0,0.833,0.167,0.0,1.0,5519,1280
config_big_hard,named,no-ref,gpt-5.6-sol,gpt-5-nano,0,0.667,0.167,0.0,1.0,7915,4032
config_big_hard,named,lift-only,gpt-5.6-sol,gpt-5.6-sol,0,0.833,0.167,0.0,1.0,4086,333
config_big_hard,named,lift-only,gpt-5.6-sol,gpt-5-mini,0,0.833,0.167,0.0,1.0,5754,1536
config_big_hard,named,lift-only,gpt-5.6-sol,gpt-5-nano,0,0.833,0.0,0.167,1.0,7984,4224
config_big_hard,named,lift+consume,gpt-5.6-sol,gpt-5.6-sol,0,0.833,0.167,0.0,1.0,5537,331
config_big_hard,named,lift+consume,gpt-5.6-sol,gpt-5-mini,0,1.0,0.0,0.0,1.0,6649,1088
config_big_hard,named,lift+consume,gpt-5.6-sol,gpt-5-nano,0,0.667,0.167,0.0,1.0,9277,4160
config_big_hard,named,no-ref,gpt-5.6-sol,gpt-5.6-sol,1,0.667,0.167,0.0,1.0,4084,260
config_big_hard,named,no-ref,gpt-5.6-sol,gpt-5-mini,1,0.833,0.167,0.0,1.0,5374,1152
config_big_hard,named,no-ref,gpt-5.6-sol,gpt-5-nano,1,0.833,0.167,0.0,1.0,7010,3392
config_big_hard,named,lift-only,gpt-5.6-sol,gpt-5.6-sol,1,0.667,0.167,0.0,1.0,4148,357
config_big_hard,named,lift-only,gpt-5.6-sol,gpt-5-mini,1,0.833,0.167,0.0,1.0,4978,960
config_big_hard,named,lift-only,gpt-5.6-sol,gpt-5-nano,1,1.0,0.0,0.0,1.0,8103,4416
config_big_hard,named,lift+consume,gpt-5.6-sol,gpt-5.6-sol,1,0.833,0.167,0.0,1.0,5560,298
config_big_hard,named,lift+consume,gpt-5.6-sol,gpt-5-mini,1,0.833,0.167,0.0,1.0,6674,1088
config_big_hard,named,lift+consume,gpt-5.6-sol,gpt-5-nano,1,0.833,0.167,0.0,1.0,9933,4800
config_big_hard,named,no-ref,gpt-5.6-sol,gpt-5.6-sol,2,0.667,0.167,0.0,1.0,4221,175
config_big_hard,named,no-ref,gpt-5.6-sol,gpt-5-mini,2,0.833,0.167,0.0,1.0,5652,1280
config_big_hard,named,no-ref,gpt-5.6-sol,gpt-5-nano,2,0.833,0.0,0.167,1.0,8111,4224
config_big_hard,named,lift-only,gpt-5.6-sol,gpt-5.6-sol,2,0.833,0.167,0.0,1.0,4220,437
config_big_hard,named,lift-only,gpt-5.6-sol,gpt-5-mini,2,0.833,0.167,0.0,1.0,5464,1408
config_big_hard,named,lift-only,gpt-5.6-sol,gpt-5-nano,2,0.833,0.167,0.0,1.0,6735,3136
config_big_hard,named,lift+consume,gpt-5.6-sol,gpt-5.6-sol,2,0.667,0.167,0.0,1.0,5551,302
config_big_hard,named,lift+consume,gpt-5.6-sol,gpt-5-mini,2,0.833,0.167,0.0,1.0,6784,1216
config_big_hard,named,lift+consume,gpt-5.6-sol,gpt-5-nano,2,0.833,0.167,0.0,1.0,8697,3392
config_big_hard,typed,no-ref,gpt-5.6-sol,gpt-5.6-sol,0,0.5,0.167,0.0,1.0,4029,341
config_big_hard,typed,no-ref,gpt-5.6-sol,gpt-5-mini,0,0.833,0.167,0.0,1.0,5513,1280
config_big_hard,typed,no-ref,gpt-5.6-sol,gpt-5-nano,0,0.667,0.0,0.167,1.0,8918,5120
config_big_hard,typed,lift-only,gpt-5.6-sol,gpt-5.6-sol,0,0.833,0.167,0.0,1.0,3923,341
config_big_hard,typed,lift-only,gpt-5.6-sol,gpt-5-mini,0,1.0,0.0,0.0,1.0,5107,1216
config_big_hard,typed,lift-only,gpt-5.6-sol,gpt-5-nano,0,0.833,0.0,0.167,1.0,7978,4480
config_big_hard,typed,lift+consume,gpt-5.6-sol,gpt-5.6-sol,0,0.833,0.167,0.0,1.0,5388,316
config_big_hard,typed,lift+consume,gpt-5.6-sol,gpt-5-mini,0,0.833,0.0,0.167,1.0,6856,1408
config_big_hard,typed,lift+consume,gpt-5.6-sol,gpt-5-nano,0,0.833,0.0,0.167,1.0,7732,2816
config_big_hard,typed,no-ref,gpt-5.6-sol,gpt-5.6-sol,1,0.667,0.167,0.0,1.0,4161,469
config_big_hard,typed,no-ref,gpt-5.6-sol,gpt-5-mini,1,0.833,0.0,0.0,1.0,5777,1600
config_big_hard,typed,no-ref,gpt-5.6-sol,gpt-5-nano,1,0.667,0.0,0.167,1.0,6823,3136
config_big_hard,typed,lift-only,gpt-5.6-sol,gpt-5.6-sol,1,0.833,0.167,0.0,1.0,3890,340
config_big_hard,typed,lift-only,gpt-5.6-sol,gpt-5-mini,1,0.833,0.0,0.167,1.0,5042,1088
config_big_hard,typed,lift-only,gpt-5.6-sol,gpt-5-nano,1,0.833,0.0,0.167,1.0,8142,4544
config_big_hard,typed,lift+consume,gpt-5.6-sol,gpt-5.6-sol,1,0.833,0.167,0.0,1.0,5431,405
config_big_hard,typed,lift+consume,gpt-5.6-sol,gpt-5-mini,1,1.0,0.0,0.0,1.0,6846,1472
config_big_hard,typed,lift+consume,gpt-5.6-sol,gpt-5-nano,1,0.667,0.0,0.167,1.0,9447,4352
config_big_hard,typed,no-ref,gpt-5.6-sol,gpt-5.6-sol,2,0.667,0.167,0.0,1.0,4111,345
config_big_hard,typed,no-ref,gpt-5.6-sol,gpt-5-mini,2,0.833,0.167,0.0,1.0,5119,1088
config_big_hard,typed,no-ref,gpt-5.6-sol,gpt-5-nano,2,0.667,0.167,0.0,1.0,6803,3072
config_big_hard,typed,lift-only,gpt-5.6-sol,gpt-5.6-sol,2,0.833,0.167,0.0,1.0,3874,246
config_big_hard,typed,lift-only,gpt-5.6-sol,gpt-5-mini,2,0.833,0.0,0.167,1.0,5319,1280
config_big_hard,typed,lift-only,gpt-5.6-sol,gpt-5-nano,2,1.0,0.0,0.0,1.0,7176,3520
config_big_hard,typed,lift+consume,gpt-5.6-sol,gpt-5.6-sol,2,0.833,0.167,0.0,1.0,5357,261
config_big_hard,typed,lift+consume,gpt-5.6-sol,gpt-5-mini,2,1.0,0.0,0.0,1.0,6824,1280
config_big_hard,typed,lift+consume,gpt-5.6-sol,gpt-5-nano,2,0.667,0.0,0.167,1.0,9949,4800
config_big_hard,data,no-ref,gpt-5.6-sol,gpt-5.6-sol,0,0.833,0.167,0.0,1.0,3909,275
config_big_hard,data,no-ref,gpt-5.6-sol,gpt-5-mini,0,0.833,0.0,0.167,1.0,5646,1600
config_big_hard,data,no-ref,gpt-5.6-sol,gpt-5-nano,0,0.833,0.0,0.167,1.0,7654,3968
config_big_hard,data,lift-only,gpt-5.6-sol,gpt-5.6-sol,0,0.833,0.167,0.0,1.0,3901,379
config_big_hard,data,lift-only,gpt-5.6-sol,gpt-5-mini,0,0.833,0.0,0.167,1.0,5590,1728
config_big_hard,data,lift-only,gpt-5.6-sol,gpt-5-nano,0,0.833,0.0,0.167,1.0,7557,4096
config_big_hard,data,lift+consume,gpt-5.6-sol,gpt-5.6-sol,0,0.833,0.167,0.0,1.0,5259,281
config_big_hard,data,lift+consume,gpt-5.6-sol,gpt-5-mini,0,0.833,0.0,0.167,1.0,7293,1920
config_big_hard,data,lift+consume,gpt-5.6-sol,gpt-5-nano,0,0.833,0.0,0.167,1.0,9120,4224
config_big_hard,data,no-ref,gpt-5.6-sol,gpt-5.6-sol,1,0.833,0.0,0.167,1.0,4054,380
config_big_hard,data,no-ref,gpt-5.6-sol,gpt-5-mini,1,0.833,0.0,0.167,1.0,5626,1600
config_big_hard,data,no-ref,gpt-5.6-sol,gpt-5-nano,1,0.833,0.0,0.167,1.0,7732,4160
config_big_hard,data,lift-only,gpt-5.6-sol,gpt-5.6-sol,1,0.667,0.0,0.167,1.0,3800,251
config_big_hard,data,lift-only,gpt-5.6-sol,gpt-5-mini,1,0.833,0.0,0.167,1.0,5455,1472
config_big_hard,data,lift-only,gpt-5.6-sol,gpt-5-nano,1,0.833,0.0,0.167,1.0,6556,3136
config_big_hard,data,lift+consume,gpt-5.6-sol,gpt-5.6-sol,1,0.833,0.0,0.167,1.0,5439,393
config_big_hard,data,lift+consume,gpt-5.6-sol,gpt-5-mini,1,0.833,0.0,0.167,1.0,6375,896
config_big_hard,data,lift+consume,gpt-5.6-sol,gpt-5-nano,1,0.667,0.0,0.167,1.0,9238,4096
config_big_hard,data,no-ref,gpt-5.6-sol,gpt-5.6-sol,2,0.833,0.0,0.167,1.0,4091,469
config_big_hard,data,no-ref,gpt-5.6-sol,gpt-5-mini,2,0.667,0.0,0.0,1.0,5306,1280
config_big_hard,data,no-ref,gpt-5.6-sol,gpt-5-nano,2,0.833,0.0,0.167,1.0,7920,4352
config_big_hard,data,lift-only,gpt-5.6-sol,gpt-5.6-sol,2,1.0,0.0,0.0,1.0,3918,210
config_big_hard,data,lift-only,gpt-5.6-sol,gpt-5-mini,2,0.833,0.0,0.167,1.0,4996,960
config_big_hard,data,lift-only,gpt-5.6-sol,gpt-5-nano,2,0.833,0.0,0.167,1.0,6094,2560
config_big_hard,data,lift+consume,gpt-5.6-sol,gpt-5.6-sol,2,1.0,0.0,0.0,1.0,5405,213
config_big_hard,data,lift+consume,gpt-5.6-sol,gpt-5-mini,2,0.833,0.0,0.167,1.0,7053,1536
config_big_hard,data,lift+consume,gpt-5.6-sol,gpt-5-nano,2,0.833,0.0,0.167,1.0,8736,3712
config_rest,named,no-ref,gpt-5.6-sol,gpt-5.6-sol,0,0.833,0.0,0.167,1.0,2202,144
config_rest,named,no-ref,gpt-5.6-sol,gpt-5-mini,0,0.833,0.0,0.0,1.0,3395,1088
config_rest,named,no-ref,gpt-5.6-sol,gpt-5-nano,0,0.667,0.0,0.0,1.0,4292,2240
config_rest,named,lift-only,gpt-5.6-sol,gpt-5.6-sol,0,0.833,0.0,0.0,1.0,2250,187
config_rest,named,lift-only,gpt-5.6-sol,gpt-5-mini,0,1.0,0.0,0.0,1.0,3358,1024
config_rest,named,lift-only,gpt-5.6-sol,gpt-5-nano,0,1.0,0.0,0.0,1.0,4201,2048
config_rest,named,lift+consume,gpt-5.6-sol,gpt-5.6-sol,0,1.0,0.0,0.0,1.0,2894,169
config_rest,named,lift+consume,gpt-5.6-sol,gpt-5-mini,0,1.0,0.0,0.0,1.0,4040,960
config_rest,named,lift+consume,gpt-5.6-sol,gpt-5-nano,0,0.833,0.0,0.0,1.0,5371,2560
config_rest,named,no-ref,gpt-5.6-sol,gpt-5.6-sol,1,0.667,0.0,0.167,1.0,2201,94
config_rest,named,no-ref,gpt-5.6-sol,gpt-5-mini,1,0.667,0.0,0.0,1.0,2862,512
config_rest,named,no-ref,gpt-5.6-sol,gpt-5-nano,1,1.0,0.0,0.0,1.0,4318,2240
config_rest,named,lift-only,gpt-5.6-sol,gpt-5.6-sol,1,0.833,0.0,0.0,1.0,2195,89
config_rest,named,lift-only,gpt-5.6-sol,gpt-5-mini,1,1.0,0.0,0.0,1.0,2966,640
config_rest,named,lift-only,gpt-5.6-sol,gpt-5-nano,1,0.833,0.0,0.0,1.0,4955,2880
config_rest,named,lift+consume,gpt-5.6-sol,gpt-5.6-sol,1,0.833,0.0,0.167,1.0,2914,192
config_rest,named,lift+consume,gpt-5.6-sol,gpt-5-mini,1,1.0,0.0,0.0,1.0,3509,640
config_rest,named,lift+consume,gpt-5.6-sol,gpt-5-nano,1,1.0,0.0,0.0,1.0,6407,3648
config_rest,named,no-ref,gpt-5.6-sol,gpt-5.6-sol,2,0.667,0.0,0.0,1.0,2184,95
config_rest,named,no-ref,gpt-5.6-sol,gpt-5-mini,2,0.667,0.0,0.167,1.0,3401,1088
config_rest,named,no-ref,gpt-5.6-sol,gpt-5-nano,2,0.667,0.0,0.167,1.0,4775,2560
config_rest,named,lift-only,gpt-5.6-sol,gpt-5.6-sol,2,1.0,0.0,0.0,1.0,2273,121
config_rest,named,lift-only,gpt-5.6-sol,gpt-5-mini,2,0.833,0.0,0.0,1.0,3070,704
config_rest,named,lift-only,gpt-5.6-sol,gpt-5-nano,2,1.0,0.0,0.0,1.0,4800,2560
config_rest,named,lift+consume,gpt-5.6-sol,gpt-5.6-sol,2,1.0,0.0,0.0,1.0,2943,200
config_rest,named,lift+consume,gpt-5.6-sol,gpt-5-mini,2,1.0,0.0,0.0,1.0,3758,768
config_rest,named,lift+consume,gpt-5.6-sol,gpt-5-nano,2,0.833,0.0,0.0,1.0,4637,1856
config_rest,typed,no-ref,gpt-5.6-sol,gpt-5.6-sol,0,0.833,0.0,0.167,1.0,2122,102
config_rest,typed,no-ref,gpt-5.6-sol,gpt-5-mini,0,0.833,0.0,0.0,1.0,3337,960
config_rest,typed,no-ref,gpt-5.6-sol,gpt-5-nano,0,0.833,0.0,0.0,1.0,4795,2688
config_rest,typed,lift-only,gpt-5.6-sol,gpt-5.6-sol,0,0.833,0.0,0.167,1.0,2113,92
config_rest,typed,lift-only,gpt-5.6-sol,gpt-5-mini,0,1.0,0.0,0.0,1.0,3164,896
config_rest,typed,lift-only,gpt-5.6-sol,gpt-5-nano,0,1.0,0.0,0.0,1.0,4447,2368
config_rest,typed,lift+consume,gpt-5.6-sol,gpt-5.6-sol,0,1.0,0.0,0.0,1.0,2879,226
config_rest,typed,lift+consume,gpt-5.6-sol,gpt-5-mini,0,1.0,0.0,0.0,1.0,3873,960
config_rest,typed,lift+consume,gpt-5.6-sol,gpt-5-nano,0,1.0,0.0,0.0,1.0,5427,2752
config_rest,typed,no-ref,gpt-5.6-sol,gpt-5.6-sol,1,1.0,0.0,0.0,1.0,2170,172
config_rest,typed,no-ref,gpt-5.6-sol,gpt-5-mini,1,0.833,0.0,0.0,1.0,3484,1280
config_rest,typed,no-ref,gpt-5.6-sol,gpt-5-nano,1,1.0,0.0,0.0,1.0,5022,2944
config_rest,typed,lift-only,gpt-5.6-sol,gpt-5.6-sol,1,1.0,0.0,0.0,1.0,2295,284
config_rest,typed,lift-only,gpt-5.6-sol,gpt-5-mini,1,1.0,0.0,0.0,1.0,3061,832
config_rest,typed,lift-only,gpt-5.6-sol,gpt-5-nano,1,0.833,0.0,0.167,1.0,4807,2688
config_rest,typed,lift+consume,gpt-5.6-sol,gpt-5.6-sol,1,1.0,0.0,0.0,1.0,2789,174
config_rest,typed,lift+consume,gpt-5.6-sol,gpt-5-mini,1,1.0,0.0,0.0,1.0,3713,832
config_rest,typed,lift+consume,gpt-5.6-sol,gpt-5-nano,1,0.833,0.0,0.0,1.0,7859,5184
config_rest,typed,no-ref,gpt-5.6-sol,gpt-5.6-sol,2,1.0,0.0,0.0,1.0,2125,128
config_rest,typed,no-ref,gpt-5.6-sol,gpt-5-mini,2,0.833,0.0,0.0,1.0,3331,1152
config_rest,typed,no-ref,gpt-5.6-sol,gpt-5-nano,2,0.833,0.0,0.0,1.0,4822,2688
config_rest,typed,lift-only,gpt-5.6-sol,gpt-5.6-sol,2,0.833,0.0,0.0,1.0,2121,121
config_rest,typed,lift-only,gpt-5.6-sol,gpt-5-mini,2,1.0,0.0,0.0,1.0,3071,832
config_rest,typed,lift-only,gpt-5.6-sol,gpt-5-nano,2,0.5,0.0,0.0,1.0,4240,2176
config_rest,typed,lift+consume,gpt-5.6-sol,gpt-5.6-sol,2,1.0,0.0,0.0,1.0,2728,113
config_rest,typed,lift+consume,gpt-5.6-sol,gpt-5-mini,2,1.0,0.0,0.0,1.0,3770,960
config_rest,typed,lift+consume,gpt-5.6-sol,gpt-5-nano,2,1.0,0.0,0.0,1.0,5998,3392
config_rest,data,no-ref,gpt-5.6-sol,gpt-5.6-sol,0,0.833,0.0,0.167,1.0,2090,127
config_rest,data,no-ref,gpt-5.6-sol,gpt-5-mini,0,0.833,0.0,0.167,1.0,3059,896
config_rest,data,no-ref,gpt-5.6-sol,gpt-5-nano,0,0.833,0.0,0.0,1.0,4133,2176
config_rest,data,lift-only,gpt-5.6-sol,gpt-5.6-sol,0,1.0,0.0,0.0,1.0,2106,107
config_rest,data,lift-only,gpt-5.6-sol,gpt-5-mini,0,1.0,0.0,0.0,1.0,3315,1088
config_rest,data,lift-only,gpt-5.6-sol,gpt-5-nano,0,1.0,0.0,0.0,1.0,4316,2240
config_rest,data,lift+consume,gpt-5.6-sol,gpt-5.6-sol,0,1.0,0.0,0.0,1.0,2738,127
config_rest,data,lift+consume,gpt-5.6-sol,gpt-5-mini,0,1.0,0.0,0.0,1.0,3893,1088
config_rest,data,lift+consume,gpt-5.6-sol,gpt-5-nano,0,1.0,0.0,0.0,1.0,4692,2112
config_rest,data,no-ref,gpt-5.6-sol,gpt-5.6-sol,1,0.833,0.0,0.167,1.0,2179,109
config_rest,data,no-ref,gpt-5.6-sol,gpt-5-mini,1,0.833,0.0,0.167,1.0,3743,1472
config_rest,data,no-ref,gpt-5.6-sol,gpt-5-nano,1,0.833,0.0,0.0,1.0,5190,3072
config_rest,data,lift-only,gpt-5.6-sol,gpt-5.6-sol,1,0.833,0.0,0.0,1.0,2177,176
config_rest,data,lift-only,gpt-5.6-sol,gpt-5-mini,1,0.833,0.0,0.0,1.0,3321,1088
config_rest,data,lift-only,gpt-5.6-sol,gpt-5-nano,1,0.833,0.0,0.0,1.0,4825,2816
config_rest,data,lift+consume,gpt-5.6-sol,gpt-5.6-sol,1,0.833,0.0,0.0,1.0,2837,218
config_rest,data,lift+consume,gpt-5.6-sol,gpt-5-mini,1,0.833,0.0,0.167,1.0,4032,1152
config_rest,data,lift+consume,gpt-5.6-sol,gpt-5-nano,1,0.833,0.0,0.0,1.0,5187,2560
config_rest,data,no-ref,gpt-5.6-sol,gpt-5.6-sol,2,0.667,0.0,0.167,1.0,2157,147
config_rest,data,no-ref,gpt-5.6-sol,gpt-5-mini,2,0.833,0.0,0.0,1.0,3166,896
