case,model,placement,uses_reference,trial,stage,precision,recall,surviving_false_cognates,residual,reasoning_tokens,verify_reasoning_tokens
config_big_hard,gpt-5-nano,both_cognitive,False,0,pre,0.923,1.0,1,5,4736,
config_big_hard,gpt-5-nano,both_cognitive,False,0,post,1.0,0.833,0,11,4736,5184
config_big_hard,gpt-5-nano,both_cognitive,False,1,pre,1.0,1.0,0,7,4352,
config_big_hard,gpt-5-nano,both_cognitive,False,1,post,1.0,0.833,0,11,4352,4544
config_big_hard,gpt-5-nano,both_cognitive,False,2,pre,0.923,1.0,1,5,4224,
config_big_hard,gpt-5-nano,both_cognitive,False,2,post,1.0,0.833,0,11,4224,2944
config_big_hard,gpt-5-nano,both_cognitive,True,0,pre,1.0,1.0,0,7,4096,
config_big_hard,gpt-5-nano,both_cognitive,True,0,post,1.0,0.917,0,9,4096,3776
config_big_hard,gpt-5-nano,both_cognitive,True,1,pre,1.0,1.0,0,7,3776,
config_big_hard,gpt-5-nano,both_cognitive,True,1,post,1.0,0.917,0,9,3776,4480
config_big_hard,gpt-5-nano,both_cognitive,True,2,pre,1.0,1.0,0,7,4352,
config_big_hard,gpt-5-nano,both_cognitive,True,2,post,1.0,0.833,0,11,4352,5248
config_big_hard,gpt-5-nano,one_inert,False,0,pre,0.846,0.917,1,5,8128,
config_big_hard,gpt-5-nano,one_inert,False,0,post,0.917,0.917,0,7,8128,6528
config_big_hard,gpt-5-nano,one_inert,False,1,pre,0.917,0.917,1,7,6848,
config_big_hard,gpt-5-nano,one_inert,False,1,post,0.909,0.833,1,9,6848,6464
config_big_hard,gpt-5-nano,one_inert,False,2,pre,0.769,0.833,1,5,6976,
config_big_hard,gpt-5-nano,one_inert,False,2,post,1.0,0.75,0,13,6976,4736
config_big_hard,gpt-5-nano,one_inert,True,0,pre,0.923,1.0,1,5,12096,
config_big_hard,gpt-5-nano,one_inert,True,0,post,1.0,1.0,0,7,12096,4800
config_big_hard,gpt-5-nano,one_inert,True,1,pre,1.0,1.0,0,7,13376,
config_big_hard,gpt-5-nano,one_inert,True,1,post,1.0,1.0,0,7,13376,4352
config_big_hard,gpt-5-nano,one_inert,True,2,pre,1.0,1.0,0,7,9920,
config_big_hard,gpt-5-nano,one_inert,True,2,post,1.0,1.0,0,7,9920,8256
config_big_hard,gpt-5-nano,both_inert,False,0,pre,0.857,1.0,1,3,7680,
config_big_hard,gpt-5-nano,both_inert,False,0,post,0.909,0.833,0,9,7680,5248
config_big_hard,gpt-5-nano,both_inert,False,1,pre,0.857,1.0,1,3,8832,
config_big_hard,gpt-5-nano,both_inert,False,1,post,0.909,0.833,0,9,8832,5760
config_big_hard,gpt-5-nano,both_inert,False,2,pre,0.857,1.0,1,3,7104,
config_big_hard,gpt-5-nano,both_inert,False,2,post,0.909,0.833,0,9,7104,6528
config_big_hard,gpt-5-nano,both_inert,True,0,pre,1.0,1.0,0,7,11584,
config_big_hard,gpt-5-nano,both_inert,True,0,post,1.0,1.0,0,7,11584,5120
config_big_hard,gpt-5-nano,both_inert,True,1,pre,1.0,0.75,0,13,8640,
config_big_hard,gpt-5-nano,both_inert,True,1,post,1.0,0.667,0,15,8640,4352
config_big_hard,gpt-5-nano,both_inert,True,2,pre,1.0,1.0,0,7,8384,
config_big_hard,gpt-5-nano,both_inert,True,2,post,1.0,0.917,0,9,8384,5056
