case,condition,model,placement,trial,precision,recall,surviving_false_cognates,residual,constructed_entries,construct_reasoning_tokens,construct_total_tokens,bind_reasoning_tokens,bind_total_tokens,total_reasoning_tokens,total_tokens
config_cross_domain,given-ref,gpt-5-mini,one_inert,0,1.0,1.0,0,5,,0,0,960,3807,960,3807
config_cross_domain,constructed,gpt-5-mini,one_inert,0,1.0,1.0,0,5,10,1728,4567,896,3703,2624,8270
config_cross_domain,no-ref,gpt-5-mini,one_inert,1,0.833,1.0,1,3,,0,0,1024,3342,1024,3342
config_cross_domain,given-ref,gpt-5-mini,one_inert,1,0.833,1.0,1,3,,0,0,1216,4106,1216,4106
config_cross_domain,constructed,gpt-5-mini,one_inert,1,1.0,1.0,0,5,10,1920,4697,1216,3961,3136,8658
config_cross_domain,no-ref,gpt-5-mini,one_inert,2,0.833,1.0,1,3,,0,0,1024,3347,1024,3347
config_cross_domain,given-ref,gpt-5-mini,one_inert,2,0.833,1.0,1,3,,0,0,1088,4053,1088,4053
config_cross_domain,constructed,gpt-5-mini,one_inert,2,1.0,1.0,0,5,10,1856,4670,1152,3934,3008,8604
config_cross_domain,no-ref,gpt-5-nano,both_cognitive,0,1.0,1.0,0,5,,0,0,2880,4981,2880,4981
config_cross_domain,given-ref,gpt-5-nano,both_cognitive,0,1.0,1.0,0,5,,0,0,3648,6368,3648,6368
config_cross_domain,constructed,gpt-5-nano,both_cognitive,0,0.833,1.0,1,3,7,9792,12071,3648,6093,13440,18164
config_cross_domain,no-ref,gpt-5-nano,both_cognitive,1,1.0,1.0,0,5,,0,0,5184,7288,5184,7288
config_cross_domain,given-ref,gpt-5-nano,both_cognitive,1,1.0,1.0,0,5,,0,0,1664,4377,1664,4377
config_cross_domain,constructed,gpt-5-nano,both_cognitive,1,0.833,1.0,1,3,10,6784,9259,3008,5719,9792,14978
config_cross_domain,no-ref,gpt-5-nano,both_cognitive,2,0.833,1.0,1,3,,0,0,3200,5343,3200,5343
config_cross_domain,given-ref,gpt-5-nano,both_cognitive,2,1.0,1.0,0,5,,0,0,1728,4422,1728,4422
config_cross_domain,constructed,gpt-5-nano,both_cognitive,2,0.667,0.8,1,4,9,9152,11743,3840,6448,12992,18191
config_cross_domain,no-ref,gpt-5-nano,one_inert,0,0.571,0.8,1,1,,0,0,2368,4642,2368,4642
config_cross_domain,given-ref,gpt-5-nano,one_inert,0,0.833,1.0,1,3,,0,0,6528,9391,6528,9391
config_cross_domain,constructed,gpt-5-nano,one_inert,0,0.8,0.8,1,5,10,9792,12544,3712,6459,13504,19003
config_cross_domain,no-ref,gpt-5-nano,one_inert,1,0.571,0.8,1,1,,0,0,3648,5852,3648,5852
config_cross_domain,given-ref,gpt-5-nano,one_inert,1,0.833,1.0,1,3,,0,0,7936,10742,7936,10742
config_cross_domain,constructed,gpt-5-nano,one_inert,1,0.833,1.0,1,3,9,10112,12558,5440,8027,15552,20585
config_cross_domain,no-ref,gpt-5-nano,one_inert,2,0.571,0.8,1,1,,0,0,3328,5547,3328,5547
config_cross_domain,given-ref,gpt-5-nano,one_inert,2,0.833,1.0,1,3,,0,0,3904,6755,3904,6755
config_cross_domain,constructed,gpt-5-nano,one_inert,2,1.0,0.6,0,9,12,6656,9519,3264,6054,9920,15573
