case,model,placement,reference_variant,evidence,budget,trial,submitted,proposed,precision,recall,surviving_instance_fc,experiment_only_recall,residual_total,residual_experiment_only,residual_native,confirmed_provision,refuted_provision,interrogated,interrogate_calls,provision_calls,turns,total_tokens,reasoning_tokens,latency_s,mean_conf_correct,mean_conf_incorrect,surviving_traps
instance_hard,gpt-5-mini,one_inert,none,key+attrs+rels,12,1,True,9,1.0,0.818,0,0.5,7,2,3,2,0,0,0,2,2,9271,1792,26.87,0.983,,
instance_hard,gpt-5-mini,one_inert,none,key+attrs+rels,12,2,True,9,1.0,0.818,0,0.5,7,2,3,0,0,0,0,0,1,4866,1792,23.64,0.978,,
instance_hard,gpt-5-mini,one_inert,none,name+key,12,0,True,7,1.0,0.636,0,0.0,11,4,3,0,1,0,0,1,2,5661,1472,21.88,1.0,,
instance_hard,gpt-5-mini,one_inert,none,name+key,12,1,True,7,1.0,0.636,0,0.0,11,4,3,0,1,0,0,1,2,5213,1216,19.79,1.0,,
instance_hard,gpt-5-mini,one_inert,none,name+key,12,2,True,7,1.0,0.636,0,0.0,11,4,3,0,1,0,0,1,2,5323,1216,17.28,1.0,,
instance_hard,gpt-5-mini,one_inert,none,attrs+rels,12,0,True,9,1.0,0.818,0,0.5,7,2,3,2,1,0,0,3,2,11290,3264,49.3,0.978,,
instance_hard,gpt-5-mini,one_inert,none,attrs+rels,12,1,True,9,1.0,0.818,0,0.5,7,2,3,2,0,0,0,2,2,9679,2432,33.31,0.978,,
instance_hard,gpt-5-mini,one_inert,none,attrs+rels,12,2,True,9,1.0,0.818,0,0.5,7,2,3,0,0,0,0,0,1,4479,1536,19.05,0.96,,
instance_hard,gpt-5-mini,one_inert,none,name,12,0,True,2,1.0,0.182,0,0.0,21,4,3,2,1,0,0,3,3,8014,1408,22.03,1.0,,
instance_hard,gpt-5-mini,one_inert,none,name,12,1,True,0,0.0,0.0,0,0.0,25,4,3,0,1,0,0,1,2,5029,1408,20.57,,,
instance_hard,gpt-5-mini,one_inert,none,name,12,2,True,9,0.889,0.727,1,0.5,7,2,2,0,1,0,0,1,2,6358,2368,32.83,0.906,0.95,a.r1~b.r1
instance_hard,gpt-5-mini,both_inert,none,name+key+attrs+rels,12,0,True,9,1.0,0.818,0,0.5,7,2,3,0,0,0,0,0,1,4723,1536,21.72,0.948,,
instance_hard,gpt-5-mini,both_inert,none,name+key+attrs+rels,12,1,True,9,1.0,0.818,0,0.5,7,2,3,0,0,0,0,0,1,5172,1984,23.81,0.917,,
instance_hard,gpt-5-mini,both_inert,none,name+key+attrs+rels,12,2,True,9,1.0,0.818,0,0.5,7,2,3,0,0,0,0,0,1,4857,1664,23.91,0.962,,
instance_hard,gpt-5-mini,both_inert,none,name+attrs+rels,12,0,True,11,1.0,1.0,0,1.0,3,0,3,0,0,0,0,0,1,5063,1984,26.98,0.85,,
instance_hard,gpt-5-mini,both_inert,none,name+attrs+rels,12,1,True,11,1.0,1.0,0,1.0,3,0,3,0,0,0,0,0,1,5062,1984,28.6,0.85,,
instance_hard,gpt-5-mini,both_inert,none,name+attrs+rels,12,2,True,11,1.0,1.0,0,1.0,3,0,3,0,0,0,0,0,1,4950,1856,25.38,0.823,,
instance_hard,gpt-5-mini,both_inert,none,key+attrs+rels,12,0,True,9,1.0,0.818,0,0.5,7,2,3,0,0,0,0,0,1,4205,1216,17.05,0.961,,
instance_hard,gpt-5-mini,both_inert,none,key+attrs+rels,12,1,True,9,1.0,0.818,0,0.5,7,2,3,0,0,0,0,0,1,4067,1088,16.72,0.928,,
instance_hard,gpt-5-mini,both_inert,none,key+attrs+rels,12,2,True,9,1.0,0.818,0,0.5,7,2,3,0,0,0,0,0,1,4485,1536,22.42,0.917,,
instance_hard,gpt-5-mini,both_inert,none,name+key,12,0,True,7,1.0,0.636,0,0.0,11,4,3,0,0,0,0,0,1,2356,896,14.21,0.99,,
instance_hard,gpt-5-mini,both_inert,none,name+key,12,1,True,7,1.0,0.636,0,0.0,11,4,3,0,0,0,0,0,1,2373,896,27.46,0.9,,
instance_hard,gpt-5-mini,both_inert,none,name+key,12,2,True,7,1.0,0.636,0,0.0,11,4,3,0,0,0,0,0,1,2429,960,16.05,0.9,,
instance_hard,gpt-5-mini,both_inert,none,attrs+rels,12,0,True,11,1.0,1.0,0,1.0,3,0,3,0,0,0,0,0,1,4359,1472,22.53,0.832,,
instance_hard,gpt-5-mini,both_inert,none,attrs+rels,12,1,True,11,1.0,1.0,0,1.0,3,0,3,0,0,0,0,0,1,4301,1408,22.31,0.877,,
instance_hard,gpt-5-mini,both_inert,none,attrs+rels,12,2,True,11,1.0,1.0,0,1.0,3,0,3,0,0,0,0,0,1,4411,1536,28.77,0.827,,
instance_hard,gpt-5-mini,both_inert,none,name,12,0,True,8,0.75,0.545,2,0.5,9,2,0,0,0,0,0,0,1,3333,1920,28.61,0.758,0.925,a.r1~b.r1;a.svc100~b.svc100
instance_hard,gpt-5-mini,both_inert,none,name,12,1,True,8,0.75,0.545,2,0.5,9,2,0,0,0,0,0,0,1,3137,1728,25.44,0.817,0.9,a.r1~b.r1;a.svc100~b.svc100
instance_hard,gpt-5-mini,both_inert,none,name,12,2,True,8,0.75,0.545,2,0.5,9,2,0,0,0,0,0,0,1,2922,1536,25.88,0.817,0.95,a.r1~b.r1;a.svc100~b.svc100
