case,model,trial,fact_id,gold_layer,gold_timing,layer,timing,confidence,layer_correct,timing_correct
config_cross_domain,gpt-5.6-sol,2,demarc-change-resolution,pragmatic,live,pragmatic,live,1.0,1,1
config_cross_domain,gpt-5.6-sol,3,corr-underlay,schematic,freeze,schematic,freeze,0.99,1,1
config_cross_domain,gpt-5.6-sol,3,corr-demarc-identity,schematic,freeze,schematic,freeze,0.99,1,1
config_cross_domain,gpt-5.6-sol,3,cognate-grade,schematic,freeze,schematic,freeze,0.99,1,1
config_cross_domain,gpt-5.6-sol,3,schema-types,schematic,freeze,schematic,freeze,1.0,1,1
config_cross_domain,gpt-5.6-sol,3,src-rate,provenance,freeze,provenance,freeze,0.99,1,1
config_cross_domain,gpt-5.6-sol,3,src-latency,provenance,freeze,provenance,freeze,0.99,1,1
config_cross_domain,gpt-5.6-sol,3,val-latency-now,instance,live,instance,live,1.0,1,1
config_cross_domain,gpt-5.6-sol,3,state-protection-now,instance,live,instance,live,1.0,1,1
config_cross_domain,gpt-5.6-sol,3,deliverability-now,pragmatic,live,pragmatic,live,1.0,1,1
config_cross_domain,gpt-5.6-sol,3,use-intent,pragmatic,live,pragmatic,live,0.98,1,1
config_cross_domain,gpt-5.6-sol,3,demarc-change-resolution,pragmatic,live,pragmatic,live,1.0,1,1
config_cross_domain,gpt-5-mini,0,corr-underlay,schematic,freeze,schematic,freeze,0.85,1,1
config_cross_domain,gpt-5-mini,0,corr-demarc-identity,schematic,freeze,schematic,freeze,0.85,1,1
config_cross_domain,gpt-5-mini,0,cognate-grade,schematic,freeze,schematic,freeze,0.9,1,1
config_cross_domain,gpt-5-mini,0,schema-types,schematic,freeze,schematic,freeze,0.8,1,1
config_cross_domain,gpt-5-mini,0,src-rate,provenance,freeze,provenance,freeze,0.9,1,1
config_cross_domain,gpt-5-mini,0,src-latency,provenance,freeze,provenance,freeze,0.85,1,1
config_cross_domain,gpt-5-mini,0,val-latency-now,instance,live,instance,live,0.65,1,1
config_cross_domain,gpt-5-mini,0,state-protection-now,instance,live,instance,live,0.8,1,1
config_cross_domain,gpt-5-mini,0,deliverability-now,pragmatic,live,pragmatic,live,0.5,1,1
config_cross_domain,gpt-5-mini,0,use-intent,pragmatic,live,pragmatic,live,0.6,1,1
config_cross_domain,gpt-5-mini,0,demarc-change-resolution,pragmatic,live,pragmatic,live,0.35,1,1
config_cross_domain,gpt-5-mini,1,corr-underlay,schematic,freeze,schematic,freeze,0.8,1,1
config_cross_domain,gpt-5-mini,1,corr-demarc-identity,schematic,freeze,schematic,freeze,0.75,1,1
config_cross_domain,gpt-5-mini,1,cognate-grade,schematic,freeze,schematic,freeze,0.95,1,1
config_cross_domain,gpt-5-mini,1,schema-types,schematic,freeze,schematic,freeze,0.9,1,1
config_cross_domain,gpt-5-mini,1,src-rate,provenance,freeze,provenance,freeze,0.85,1,1
config_cross_domain,gpt-5-mini,1,src-latency,provenance,freeze,provenance,freeze,0.8,1,1
config_cross_domain,gpt-5-mini,1,val-latency-now,instance,live,instance,live,0.65,1,1
config_cross_domain,gpt-5-mini,1,state-protection-now,instance,live,instance,live,0.8,1,1
config_cross_domain,gpt-5-mini,1,deliverability-now,pragmatic,live,pragmatic,live,0.6,1,1
config_cross_domain,gpt-5-mini,1,use-intent,pragmatic,live,pragmatic,live,0.5,1,1
config_cross_domain,gpt-5-mini,1,demarc-change-resolution,pragmatic,live,pragmatic,live,0.35,1,1
config_cross_domain,gpt-5-mini,2,corr-underlay,schematic,freeze,schematic,freeze,0.7,1,1
config_cross_domain,gpt-5-mini,2,corr-demarc-identity,schematic,freeze,schematic,freeze,0.65,1,1
config_cross_domain,gpt-5-mini,2,cognate-grade,schematic,freeze,schematic,freeze,0.95,1,1
config_cross_domain,gpt-5-mini,2,schema-types,schematic,freeze,schematic,freeze,0.9,1,1
config_cross_domain,gpt-5-mini,2,src-rate,provenance,freeze,provenance,freeze,0.9,1,1
config_cross_domain,gpt-5-mini,2,src-latency,provenance,freeze,provenance,freeze,0.85,1,1
config_cross_domain,gpt-5-mini,2,val-latency-now,instance,live,instance,live,0.7,1,1
config_cross_domain,gpt-5-mini,2,state-protection-now,instance,live,instance,live,0.75,1,1
config_cross_domain,gpt-5-mini,2,deliverability-now,pragmatic,live,pragmatic,live,0.55,1,1
config_cross_domain,gpt-5-mini,2,use-intent,pragmatic,live,pragmatic,live,0.5,1,1
config_cross_domain,gpt-5-mini,2,demarc-change-resolution,pragmatic,live,pragmatic,live,0.3,1,1
config_cross_domain,gpt-5-mini,3,corr-underlay,schematic,freeze,schematic,freeze,0.8,1,1
config_cross_domain,gpt-5-mini,3,corr-demarc-identity,schematic,freeze,instance,freeze,0.75,0,1
config_cross_domain,gpt-5-mini,3,cognate-grade,schematic,freeze,schematic,freeze,0.9,1,1
config_cross_domain,gpt-5-mini,3,schema-types,schematic,freeze,schematic,freeze,0.85,1,1
config_cross_domain,gpt-5-mini,3,src-rate,provenance,freeze,provenance,freeze,0.85,1,1
config_cross_domain,gpt-5-mini,3,src-latency,provenance,freeze,provenance,freeze,0.8,1,1
config_cross_domain,gpt-5-mini,3,val-latency-now,instance,live,instance,live,0.6,1,1
config_cross_domain,gpt-5-mini,3,state-protection-now,instance,live,instance,live,0.85,1,1
config_cross_domain,gpt-5-mini,3,deliverability-now,pragmatic,live,pragmatic,live,0.7,1,1
config_cross_domain,gpt-5-mini,3,use-intent,pragmatic,live,pragmatic,live,0.7,1,1
config_cross_domain,gpt-5-mini,3,demarc-change-resolution,pragmatic,live,pragmatic,live,0.95,1,1
config_cross_domain,gpt-5-nano,0,corr-underlay,schematic,freeze,schematic,freeze,0.8,1,1
config_cross_domain,gpt-5-nano,0,corr-demarc-identity,schematic,freeze,schematic,freeze,0.8,1,1
config_cross_domain,gpt-5-nano,0,cognate-grade,schematic,freeze,schematic,freeze,0.85,1,1
config_cross_domain,gpt-5-nano,0,schema-types,schematic,freeze,schematic,freeze,0.95,1,1
config_cross_domain,gpt-5-nano,0,src-rate,provenance,freeze,provenance,live,0.9,1,0
config_cross_domain,gpt-5-nano,0,src-latency,provenance,freeze,provenance,live,0.9,1,0
config_cross_domain,gpt-5-nano,0,val-latency-now,instance,live,instance,live,0.85,1,1
config_cross_domain,gpt-5-nano,0,state-protection-now,instance,live,instance,live,0.9,1,1
config_cross_domain,gpt-5-nano,0,deliverability-now,pragmatic,live,instance,live,0.8,0,1
config_cross_domain,gpt-5-nano,0,use-intent,pragmatic,live,pragmatic,live,0.75,1,1
config_cross_domain,gpt-5-nano,0,demarc-change-resolution,pragmatic,live,pragmatic,live,0.8,1,1
config_cross_domain,gpt-5-nano,1,corr-underlay,schematic,freeze,schematic,freeze,0.85,1,1
config_cross_domain,gpt-5-nano,1,corr-demarc-identity,schematic,freeze,schematic,freeze,0.85,1,1
config_cross_domain,gpt-5-nano,1,cognate-grade,schematic,freeze,schematic,freeze,0.9,1,1
config_cross_domain,gpt-5-nano,1,schema-types,schematic,freeze,schematic,freeze,0.9,1,1
config_cross_domain,gpt-5-nano,1,src-rate,provenance,freeze,provenance,freeze,0.8,1,1
config_cross_domain,gpt-5-nano,1,src-latency,provenance,freeze,provenance,freeze,0.8,1,1
config_cross_domain,gpt-5-nano,1,val-latency-now,instance,live,instance,live,0.85,1,1
config_cross_domain,gpt-5-nano,1,state-protection-now,instance,live,instance,live,0.85,1,1
config_cross_domain,gpt-5-nano,1,deliverability-now,pragmatic,live,pragmatic,live,0.7,1,1
config_cross_domain,gpt-5-nano,1,use-intent,pragmatic,live,pragmatic,freeze,0.8,1,0
config_cross_domain,gpt-5-nano,1,demarc-change-resolution,pragmatic,live,pragmatic,live,0.75,1,1
config_cross_domain,gpt-5-nano,2,corr-underlay,schematic,freeze,schematic,freeze,0.8,1,1
config_cross_domain,gpt-5-nano,2,corr-demarc-identity,schematic,freeze,schematic,freeze,0.8,1,1
config_cross_domain,gpt-5-nano,2,cognate-grade,schematic,freeze,schematic,freeze,0.9,1,1
config_cross_domain,gpt-5-nano,2,schema-types,schematic,freeze,schematic,freeze,0.9,1,1
config_cross_domain,gpt-5-nano,2,src-rate,provenance,freeze,provenance,freeze,0.95,1,1
config_cross_domain,gpt-5-nano,2,src-latency,provenance,freeze,provenance,freeze,0.9,1,1
config_cross_domain,gpt-5-nano,2,val-latency-now,instance,live,instance,live,0.85,1,1
config_cross_domain,gpt-5-nano,2,state-protection-now,instance,live,instance,live,0.85,1,1
config_cross_domain,gpt-5-nano,2,deliverability-now,pragmatic,live,instance,live,0.8,0,1
config_cross_domain,gpt-5-nano,2,use-intent,pragmatic,live,pragmatic,live,0.75,1,1
config_cross_domain,gpt-5-nano,2,demarc-change-resolution,pragmatic,live,pragmatic,live,0.8,1,1
config_cross_domain,gpt-5-nano,3,corr-underlay,schematic,freeze,schematic,freeze,0.92,1,1
config_cross_domain,gpt-5-nano,3,corr-demarc-identity,schematic,freeze,schematic,freeze,0.9,1,1
config_cross_domain,gpt-5-nano,3,cognate-grade,schematic,freeze,schematic,freeze,0.85,1,1
config_cross_domain,gpt-5-nano,3,schema-types,schematic,freeze,schematic,freeze,0.95,1,1
config_cross_domain,gpt-5-nano,3,src-rate,provenance,freeze,provenance,freeze,0.8,1,1
config_cross_domain,gpt-5-nano,3,src-latency,provenance,freeze,provenance,freeze,0.8,1,1
config_cross_domain,gpt-5-nano,3,val-latency-now,instance,live,instance,live,0.8,1,1
config_cross_domain,gpt-5-nano,3,state-protection-now,instance,live,instance,live,0.82,1,1
config_cross_domain,gpt-5-nano,3,deliverability-now,pragmatic,live,instance,live,0.75,0,1
config_cross_domain,gpt-5-nano,3,use-intent,pragmatic,live,pragmatic,live,0.7,1,1
config_cross_domain,gpt-5-nano,3,demarc-change-resolution,pragmatic,live,pragmatic,live,0.65,1,1
