case,consumer,arm,trial,qid,judge_a,judge_b,label_a,label_b,agree
config_cross_domain,gpt-5-nano,bare,1,q_grade,gpt-5.6-sol,deepseek-chat,invented,partial,0
config_cross_domain,gpt-5-nano,bare,1,q_bearer,gpt-5.6-sol,deepseek-chat,faithful,faithful,1
config_cross_domain,gpt-5-nano,bare,1,q_handoff,gpt-5.6-sol,deepseek-chat,faithful,faithful,1
config_cross_domain,gpt-5-nano,bare,1,q_protection,gpt-5.6-sol,deepseek-chat,faithful,faithful,1
config_cross_domain,gpt-5-nano,bare,2,q_circuit,gpt-5.6-sol,deepseek-chat,partial,faithful,0
config_cross_domain,gpt-5-nano,bare,2,q_grade,gpt-5.6-sol,deepseek-chat,invented,partial,0
config_cross_domain,gpt-5-nano,bare,2,q_bearer,gpt-5.6-sol,deepseek-chat,faithful,faithful,1
config_cross_domain,gpt-5-nano,bare,2,q_handoff,gpt-5.6-sol,deepseek-chat,faithful,faithful,1
config_cross_domain,gpt-5-nano,bare,2,q_protection,gpt-5.6-sol,deepseek-chat,faithful,faithful,1
config_cross_domain,gpt-5.6-sol,anchored,0,q_circuit,gpt-5.6-sol,deepseek-chat,faithful,faithful,1
config_cross_domain,gpt-5.6-sol,anchored,0,q_grade,gpt-5.6-sol,deepseek-chat,faithful,faithful,1
config_cross_domain,gpt-5.6-sol,anchored,0,q_bearer,gpt-5.6-sol,deepseek-chat,faithful,faithful,1
config_cross_domain,gpt-5.6-sol,anchored,0,q_handoff,gpt-5.6-sol,deepseek-chat,faithful,faithful,1
config_cross_domain,gpt-5.6-sol,anchored,0,q_protection,gpt-5.6-sol,deepseek-chat,faithful,faithful,1
config_cross_domain,gpt-5.6-sol,anchored,1,q_circuit,gpt-5.6-sol,deepseek-chat,faithful,faithful,1
config_cross_domain,gpt-5.6-sol,anchored,1,q_grade,gpt-5.6-sol,deepseek-chat,faithful,faithful,1
config_cross_domain,gpt-5.6-sol,anchored,1,q_bearer,gpt-5.6-sol,deepseek-chat,faithful,faithful,1
config_cross_domain,gpt-5.6-sol,anchored,1,q_handoff,gpt-5.6-sol,deepseek-chat,faithful,faithful,1
config_cross_domain,gpt-5.6-sol,anchored,1,q_protection,gpt-5.6-sol,deepseek-chat,faithful,faithful,1
config_cross_domain,gpt-5.6-sol,anchored,2,q_circuit,gpt-5.6-sol,deepseek-chat,faithful,faithful,1
config_cross_domain,gpt-5.6-sol,anchored,2,q_grade,gpt-5.6-sol,deepseek-chat,faithful,faithful,1
config_cross_domain,gpt-5.6-sol,anchored,2,q_bearer,gpt-5.6-sol,deepseek-chat,faithful,faithful,1
config_cross_domain,gpt-5.6-sol,anchored,2,q_handoff,gpt-5.6-sol,deepseek-chat,faithful,faithful,1
config_cross_domain,gpt-5.6-sol,anchored,2,q_protection,gpt-5.6-sol,deepseek-chat,faithful,faithful,1
config_cross_domain,gpt-5-nano,anchored,0,q_circuit,gpt-5.6-sol,deepseek-chat,partial,faithful,0
config_cross_domain,gpt-5-nano,anchored,0,q_grade,gpt-5.6-sol,deepseek-chat,partial,partial,1
config_cross_domain,gpt-5-nano,anchored,0,q_bearer,gpt-5.6-sol,deepseek-chat,faithful,faithful,1
config_cross_domain,gpt-5-nano,anchored,0,q_handoff,gpt-5.6-sol,deepseek-chat,faithful,faithful,1
config_cross_domain,gpt-5-nano,anchored,0,q_protection,gpt-5.6-sol,deepseek-chat,faithful,faithful,1
config_cross_domain,gpt-5-nano,anchored,1,q_circuit,gpt-5.6-sol,deepseek-chat,faithful,faithful,1
config_cross_domain,gpt-5-nano,anchored,1,q_grade,gpt-5.6-sol,deepseek-chat,faithful,partial,0
config_cross_domain,gpt-5-nano,anchored,1,q_bearer,gpt-5.6-sol,deepseek-chat,faithful,faithful,1
config_cross_domain,gpt-5-nano,anchored,1,q_handoff,gpt-5.6-sol,deepseek-chat,faithful,partial,0
config_cross_domain,gpt-5-nano,anchored,1,q_protection,gpt-5.6-sol,deepseek-chat,faithful,faithful,1
config_cross_domain,gpt-5-nano,anchored,2,q_circuit,gpt-5.6-sol,deepseek-chat,faithful,faithful,1
config_cross_domain,gpt-5-nano,anchored,2,q_grade,gpt-5.6-sol,deepseek-chat,faithful,partial,0
config_cross_domain,gpt-5-nano,anchored,2,q_bearer,gpt-5.6-sol,deepseek-chat,faithful,faithful,1
config_cross_domain,gpt-5-nano,anchored,2,q_handoff,gpt-5.6-sol,deepseek-chat,faithful,faithful,1
config_cross_domain,gpt-5-nano,anchored,2,q_protection,gpt-5.6-sol,deepseek-chat,faithful,faithful,1
