case,model,placement,interrogation,evidence,reference_variant,budget,trial,submitted,proposed,precision,recall,surviving_instance_fc,experiment_only_recall,residual_total,residual_experiment_only,residual_native,confirmed_provision,refuted_provision,interrogated,interrogate_calls,provision_calls,turns,total_tokens,reasoning_tokens,latency_s,mean_conf_correct,mean_conf_incorrect,surviving_traps
instance_hard,gpt-5.6-sol,both_cognitive,full,key,none,unbounded,2,True,11,1.0,1.0,0,1.0,3,0,3,0,1,11,11,1,3,5608,215,12.86,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,full,key,none,unbounded,3,True,11,1.0,1.0,0,1.0,3,0,3,0,1,11,11,1,3,5790,401,15.88,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,full,key,none,unbounded,4,True,11,1.0,1.0,0,1.0,3,0,3,0,1,11,11,1,3,5689,318,13.75,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,full,key,none,unbounded,5,True,11,1.0,1.0,0,1.0,3,0,3,0,1,11,11,1,3,5507,148,8.64,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,none,name+key,none,unbounded,0,True,7,1.0,0.636,0,0.0,11,4,3,0,0,0,0,0,1,1476,232,6.04,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,none,name+key,none,unbounded,1,True,10,0.9,0.818,1,0.5,5,2,1,0,0,0,0,0,1,1473,193,5.83,0.987,0.98,a.svc100~b.svc100
instance_hard,gpt-5.6-sol,both_cognitive,none,name+key,none,unbounded,2,True,7,1.0,0.636,0,0.0,11,4,3,0,0,0,0,0,1,1399,155,4.32,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,none,name+key,none,unbounded,3,True,7,1.0,0.636,0,0.0,11,4,3,0,0,0,0,0,1,1397,153,6.1,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,none,name+key,none,unbounded,4,True,7,1.0,0.636,0,0.0,11,4,3,0,0,0,0,0,1,1527,283,6.16,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,none,name+key,none,unbounded,5,True,7,1.0,0.636,0,0.0,11,4,3,0,0,0,0,0,1,1451,207,5.1,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,lookup,name+key,none,unbounded,0,True,9,1.0,0.818,0,0.5,7,2,3,0,0,11,24,0,4,9689,399,20.59,0.998,,
instance_hard,gpt-5.6-sol,both_cognitive,lookup,name+key,none,unbounded,1,True,9,1.0,0.818,0,0.5,7,2,3,0,0,11,24,0,4,9826,473,21.12,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,lookup,name+key,none,unbounded,2,True,9,1.0,0.818,0,0.5,7,2,3,0,0,11,25,0,4,9591,488,21.57,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,lookup,name+key,none,unbounded,3,True,11,1.0,1.0,0,1.0,3,0,3,0,0,11,30,0,5,13578,516,22.32,0.982,,
instance_hard,gpt-5.6-sol,both_cognitive,lookup,name+key,none,unbounded,4,True,9,1.0,0.818,0,0.5,7,2,3,0,0,11,17,0,3,6433,306,12.59,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,lookup,name+key,none,unbounded,5,True,9,1.0,0.818,0,0.5,7,2,3,0,0,11,17,0,3,6818,509,16.69,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,discovery,name+key,none,unbounded,0,True,11,1.0,1.0,0,1.0,3,0,3,0,0,11,11,0,2,3898,283,11.69,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,discovery,name+key,none,unbounded,1,True,11,1.0,1.0,0,1.0,3,0,3,0,0,11,11,0,2,3937,327,11.87,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,discovery,name+key,none,unbounded,2,True,11,1.0,1.0,0,1.0,3,0,3,0,0,11,11,0,2,3891,244,9.95,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,discovery,name+key,none,unbounded,3,True,11,1.0,1.0,0,1.0,3,0,3,0,0,11,11,0,2,3783,186,9.59,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,discovery,name+key,none,unbounded,4,True,11,1.0,1.0,0,1.0,3,0,3,0,0,11,11,0,2,3909,246,12.61,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,discovery,name+key,none,unbounded,5,True,11,1.0,1.0,0,1.0,3,0,3,0,0,11,11,0,2,3811,178,9.22,0.996,,
instance_hard,gpt-5.6-sol,both_cognitive,full,name+key,none,unbounded,0,True,11,1.0,1.0,0,1.0,3,0,3,0,1,11,11,1,3,6260,198,9.64,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,full,name+key,none,unbounded,1,True,11,1.0,1.0,0,1.0,3,0,3,0,1,11,11,1,3,6294,265,9.62,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,full,name+key,none,unbounded,2,True,11,1.0,1.0,0,1.0,3,0,3,0,1,11,11,1,3,6332,267,11.72,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,full,name+key,none,unbounded,3,True,11,1.0,1.0,0,1.0,3,0,3,0,1,11,11,1,3,6377,338,10.26,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,full,name+key,none,unbounded,4,True,11,1.0,1.0,0,1.0,3,0,3,2,1,11,11,3,3,6906,491,14.57,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,full,name+key,none,unbounded,5,True,11,1.0,1.0,0,1.0,3,0,3,2,1,11,11,3,4,9164,401,14.83,0.996,,
instance_hard,gpt-5.6-sol,both_cognitive,none,name+key+attrs,none,unbounded,0,True,9,1.0,0.818,0,0.5,7,2,3,0,0,0,0,0,1,1919,213,5.02,0.982,,
instance_hard,gpt-5.6-sol,both_cognitive,none,name+key+attrs,none,unbounded,1,True,7,1.0,0.636,0,0.0,11,4,3,0,0,0,0,0,1,1822,140,4.48,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,none,name+key+attrs,none,unbounded,2,True,7,1.0,0.636,0,0.0,11,4,3,0,0,0,0,0,1,1858,176,5.01,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,none,name+key+attrs,none,unbounded,3,True,9,1.0,0.818,0,0.5,7,2,3,0,0,0,0,0,1,1967,261,6.04,0.969,,
instance_hard,gpt-5.6-sol,both_cognitive,none,name+key+attrs,none,unbounded,4,True,9,1.0,0.818,0,0.5,7,2,3,0,0,0,0,0,1,2015,309,8.81,0.978,,
instance_hard,gpt-5.6-sol,both_cognitive,none,name+key+attrs,none,unbounded,5,True,9,1.0,0.818,0,0.5,7,2,3,0,0,0,0,0,1,2040,334,7.19,0.984,,
instance_hard,gpt-5.6-sol,both_cognitive,lookup,name+key+attrs,none,unbounded,0,True,9,1.0,0.818,0,0.5,7,2,3,0,0,8,16,0,4,10108,378,19.1,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,lookup,name+key+attrs,none,unbounded,1,True,9,1.0,0.818,0,0.5,7,2,3,0,0,13,17,0,3,7603,318,13.43,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,lookup,name+key+attrs,none,unbounded,2,True,9,1.0,0.818,0,0.5,7,2,3,0,0,11,15,0,3,7659,437,14.54,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,lookup,name+key+attrs,none,unbounded,3,True,9,1.0,0.818,0,0.5,7,2,3,0,0,13,21,0,4,10933,498,17.43,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,lookup,name+key+attrs,none,unbounded,4,True,9,1.0,0.818,0,0.5,7,2,3,0,0,8,12,0,3,7030,221,10.29,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,lookup,name+key+attrs,none,unbounded,5,True,9,1.0,0.818,0,0.5,7,2,3,0,0,8,12,0,3,7214,317,12.7,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,discovery,name+key+attrs,none,unbounded,0,True,11,1.0,1.0,0,1.0,3,0,3,0,0,11,11,0,2,4645,171,9.59,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,discovery,name+key+attrs,none,unbounded,1,True,11,1.0,1.0,0,1.0,3,0,3,0,0,13,17,0,3,7778,221,13.86,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,discovery,name+key+attrs,none,unbounded,2,True,11,1.0,1.0,0,1.0,3,0,3,0,0,8,8,0,2,4547,295,14.53,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,discovery,name+key+attrs,none,unbounded,3,True,11,1.0,1.0,0,1.0,3,0,3,0,0,8,8,0,2,4477,200,9.8,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,discovery,name+key+attrs,none,unbounded,4,True,11,1.0,1.0,0,1.0,3,0,3,0,0,11,11,0,2,4682,200,10.22,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,discovery,name+key+attrs,none,unbounded,5,True,11,1.0,1.0,0,1.0,3,0,3,0,0,8,8,0,2,4477,195,9.78,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,full,name+key+attrs,none,unbounded,0,True,11,1.0,1.0,0,1.0,3,0,3,2,1,11,17,3,3,8783,326,13.24,0.995,,
instance_hard,gpt-5.6-sol,both_cognitive,full,name+key+attrs,none,unbounded,1,True,11,1.0,1.0,0,1.0,3,0,3,2,1,12,12,3,3,8560,483,13.33,0.995,,
instance_hard,gpt-5.6-sol,both_cognitive,full,name+key+attrs,none,unbounded,2,True,11,1.0,1.0,0,1.0,3,0,3,2,1,11,11,3,3,8158,407,12.37,0.995,,
instance_hard,gpt-5.6-sol,both_cognitive,full,name+key+attrs,none,unbounded,3,True,11,1.0,1.0,0,1.0,3,0,3,2,1,11,11,3,3,7854,230,11.14,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,full,name+key+attrs,none,unbounded,4,True,11,1.0,1.0,0,1.0,3,0,3,2,1,8,12,3,3,7862,257,11.54,0.995,,
instance_hard,gpt-5.6-sol,both_cognitive,full,name+key+attrs,none,unbounded,5,True,11,1.0,1.0,0,1.0,3,0,3,2,1,8,8,3,3,7936,366,10.99,0.995,,
instance_hard,gpt-5.6-sol,both_cognitive,none,name+key+attrs+rels,none,unbounded,0,True,9,1.0,0.818,0,0.5,7,2,3,0,0,0,0,0,1,3226,277,7.14,0.987,,
instance_hard,gpt-5.6-sol,both_cognitive,none,name+key+attrs+rels,none,unbounded,1,True,9,1.0,0.818,0,0.5,7,2,3,0,0,0,0,0,1,3234,285,7.7,0.982,,
instance_hard,gpt-5.6-sol,both_cognitive,none,name+key+attrs+rels,none,unbounded,2,True,9,1.0,0.818,0,0.5,7,2,3,0,0,0,0,0,1,3168,219,5.68,0.978,,
instance_hard,gpt-5.6-sol,both_cognitive,none,name+key+attrs+rels,none,unbounded,3,True,9,1.0,0.818,0,0.5,7,2,3,0,0,0,0,0,1,3589,640,12.72,0.978,,
instance_hard,gpt-5.6-sol,both_cognitive,none,name+key+attrs+rels,none,unbounded,4,True,9,1.0,0.818,0,0.5,7,2,3,0,0,0,0,0,1,3207,258,7.19,0.978,,
instance_hard,gpt-5.6-sol,both_cognitive,none,name+key+attrs+rels,none,unbounded,5,True,9,1.0,0.818,0,0.5,7,2,3,0,0,0,0,0,1,3223,274,6.74,0.984,,
instance_hard,gpt-5.6-sol,both_cognitive,lookup,name+key+attrs+rels,none,unbounded,0,True,9,1.0,0.818,0,0.5,7,2,3,0,0,8,16,0,4,15023,344,16.7,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,lookup,name+key+attrs+rels,none,unbounded,1,True,9,1.0,0.818,0,0.5,7,2,3,0,0,8,12,0,3,11194,517,16.01,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,lookup,name+key+attrs+rels,none,unbounded,2,True,9,1.0,0.818,0,0.5,7,2,3,0,0,8,16,0,4,14840,287,13.33,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,lookup,name+key+attrs+rels,none,unbounded,3,True,11,1.0,1.0,0,1.0,3,0,3,0,0,8,16,0,4,15480,568,18.28,0.982,,
instance_hard,gpt-5.6-sol,both_cognitive,lookup,name+key+attrs+rels,none,unbounded,4,True,9,1.0,0.818,0,0.5,7,2,3,0,0,13,17,0,3,11456,375,16.06,0.992,,
instance_hard,gpt-5.6-sol,both_cognitive,lookup,name+key+attrs+rels,none,unbounded,5,True,9,1.0,0.818,0,0.5,7,2,3,0,0,8,12,0,3,10979,364,13.94,0.992,,
instance_hard,gpt-5.6-sol,both_cognitive,discovery,name+key+attrs+rels,none,unbounded,0,True,11,1.0,1.0,0,1.0,3,0,3,0,0,8,8,0,2,6874,152,8.95,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,discovery,name+key+attrs+rels,none,unbounded,1,True,11,1.0,1.0,0,1.0,3,0,3,0,0,11,15,0,3,11096,264,13.43,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,discovery,name+key+attrs+rels,none,unbounded,2,True,11,1.0,1.0,0,1.0,3,0,3,0,0,8,8,0,2,6915,201,8.6,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,discovery,name+key+attrs+rels,none,unbounded,3,True,11,1.0,1.0,0,1.0,3,0,3,0,0,8,8,0,2,7043,260,9.52,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,discovery,name+key+attrs+rels,none,unbounded,4,True,11,1.0,1.0,0,1.0,3,0,3,0,0,11,15,0,3,11234,307,17.53,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,discovery,name+key+attrs+rels,none,unbounded,5,True,11,1.0,1.0,0,1.0,3,0,3,0,0,11,11,0,2,7317,297,13.5,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,full,name+key+attrs+rels,none,unbounded,0,True,11,1.0,1.0,0,1.0,3,0,3,2,1,8,8,3,2,7659,276,9.94,0.995,,
instance_hard,gpt-5.6-sol,both_cognitive,full,name+key+attrs+rels,none,unbounded,1,True,11,1.0,1.0,0,1.0,3,0,3,2,1,8,12,3,3,11926,290,11.8,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,full,name+key+attrs+rels,none,unbounded,2,True,11,1.0,1.0,0,1.0,3,0,3,2,1,8,12,3,3,11594,263,11.62,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,full,name+key+attrs+rels,none,unbounded,3,True,11,1.0,1.0,0,1.0,3,0,3,2,1,8,8,3,2,7549,218,8.78,0.995,,
instance_hard,gpt-5.6-sol,both_cognitive,full,name+key+attrs+rels,none,unbounded,4,True,11,1.0,1.0,0,1.0,3,0,3,2,1,8,12,3,3,11820,234,11.29,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,full,name+key+attrs+rels,none,unbounded,5,True,11,1.0,1.0,0,1.0,3,0,3,2,1,8,12,3,3,12087,319,11.89,0.995,,
instance_hard,gpt-5-mini,both_cognitive,none,name+key+attrs+rels,none,unbounded,0,True,9,1.0,0.818,0,0.5,7,2,3,0,0,0,0,0,1,4460,1472,23.08,0.989,,
instance_hard,gpt-5-mini,both_cognitive,none,name+key+attrs+rels,none,unbounded,1,True,9,1.0,0.818,0,0.5,7,2,3,0,0,0,0,0,1,4864,1856,25.76,0.989,,
instance_hard,gpt-5-mini,both_cognitive,none,name+key+attrs+rels,none,unbounded,2,True,9,1.0,0.818,0,0.5,7,2,3,0,0,0,0,0,1,4539,1536,22.38,0.959,,
instance_hard,gpt-5-mini,both_cognitive,none,name+key+attrs+rels,none,unbounded,3,True,9,1.0,0.818,0,0.5,7,2,3,0,0,0,0,0,1,4452,1472,19.58,0.989,,
instance_hard,gpt-5-mini,both_cognitive,none,name+key+attrs+rels,none,unbounded,4,True,9,1.0,0.818,0,0.5,7,2,3,0,0,0,0,0,1,4466,1472,19.88,0.979,,
instance_hard,gpt-5-mini,both_cognitive,none,name+key+attrs+rels,none,unbounded,5,True,9,1.0,0.818,0,0.5,7,2,3,0,0,0,0,0,1,4742,1728,23.34,0.989,,
instance_hard,gpt-5-mini,both_cognitive,lookup,name+key+attrs+rels,none,unbounded,0,True,9,1.0,0.818,0,0.5,7,2,3,0,0,4,4,0,2,9520,1728,23.23,0.989,,
instance_hard,gpt-5-mini,both_cognitive,lookup,name+key+attrs+rels,none,unbounded,1,True,11,1.0,1.0,0,1.0,3,0,3,0,0,4,4,0,2,9180,1664,20.82,0.991,,
instance_hard,gpt-5-mini,both_cognitive,lookup,name+key+attrs+rels,none,unbounded,2,True,11,1.0,1.0,0,1.0,3,0,3,0,0,8,9,0,4,19044,1920,26.64,0.991,,
instance_hard,gpt-5-mini,both_cognitive,lookup,name+key+attrs+rels,none,unbounded,3,True,9,1.0,0.818,0,0.5,7,2,3,0,0,0,0,0,1,4914,1728,19.43,0.989,,
instance_hard,gpt-5-mini,both_cognitive,lookup,name+key+attrs+rels,none,unbounded,4,True,9,1.0,0.818,0,0.5,7,2,3,0,0,3,6,0,3,15119,2304,34.51,0.996,,
instance_hard,gpt-5-mini,both_cognitive,lookup,name+key+attrs+rels,none,unbounded,5,True,11,1.0,1.0,0,1.0,3,0,3,0,0,4,4,0,2,9338,1728,21.91,0.973,,
instance_hard,gpt-5-mini,both_cognitive,discovery,name+key+attrs+rels,none,unbounded,0,True,9,1.0,0.818,0,0.5,7,2,3,0,0,4,4,0,2,9999,2048,29.68,1.0,,
instance_hard,gpt-5-mini,both_cognitive,discovery,name+key+attrs+rels,none,unbounded,1,True,9,1.0,0.818,0,0.5,7,2,3,0,0,20,20,0,2,11798,2432,40.36,0.989,,
instance_hard,gpt-5-mini,both_cognitive,discovery,name+key+attrs+rels,none,unbounded,2,True,11,1.0,1.0,0,1.0,3,0,3,0,0,13,13,0,4,19873,1984,35.19,1.0,,
instance_hard,gpt-5-mini,both_cognitive,discovery,name+key+attrs+rels,none,unbounded,3,True,9,1.0,0.818,0,0.5,7,2,3,0,0,0,0,0,1,5254,2112,28.57,0.978,,
instance_hard,gpt-5-mini,both_cognitive,discovery,name+key+attrs+rels,none,unbounded,4,True,11,1.0,1.0,0,1.0,3,0,3,0,0,2,3,0,4,17195,1408,25.5,1.0,,
instance_hard,gpt-5-mini,both_cognitive,discovery,name+key+attrs+rels,none,unbounded,5,True,11,1.0,1.0,0,1.0,3,0,3,0,0,25,25,0,2,10971,1984,38.67,1.0,,
instance_hard,gpt-5-mini,both_cognitive,full,name+key+attrs+rels,none,unbounded,0,True,9,1.0,0.818,0,0.5,7,2,3,2,0,20,40,2,4,25519,2624,63.18,0.994,,
instance_hard,gpt-5-mini,both_cognitive,full,name+key+attrs+rels,none,unbounded,1,True,11,1.0,1.0,0,1.0,3,0,3,2,0,13,13,2,10,53953,2432,647.18,1.0,,
instance_hard,gpt-5-mini,both_cognitive,full,name+key+attrs+rels,none,unbounded,2,True,9,1.0,0.818,0,0.5,7,2,3,2,1,3,3,3,3,15387,2560,35.26,0.978,,
instance_hard,gpt-5-mini,both_cognitive,full,name+key+attrs+rels,none,unbounded,3,True,11,1.0,1.0,0,1.0,3,0,3,2,0,6,6,2,4,22375,2688,35.9,0.982,,
instance_hard,gpt-5-mini,both_cognitive,full,name+key+attrs+rels,none,unbounded,4,True,9,1.0,0.818,0,0.5,7,2,3,2,1,20,20,3,3,15664,1536,29.94,1.0,,
instance_hard,gpt-5-mini,both_cognitive,full,name+key+attrs+rels,none,unbounded,5,True,9,1.0,0.818,0,0.5,7,2,3,0,1,0,0,1,2,9661,1792,22.15,0.989,,
instance_hard,gpt-5-nano,both_cognitive,none,name+key+attrs+rels,none,unbounded,0,True,9,1.0,0.818,0,0.5,7,2,3,0,0,0,0,0,1,7923,4928,30.34,0.933,,
instance_hard,gpt-5-nano,both_cognitive,none,name+key+attrs+rels,none,unbounded,1,True,11,1.0,1.0,0,1.0,3,0,3,0,0,0,0,0,1,8526,5504,31.38,0.937,,
instance_hard,gpt-5-nano,both_cognitive,none,name+key+attrs+rels,none,unbounded,2,True,11,1.0,1.0,0,1.0,3,0,3,0,0,0,0,0,1,9408,6400,32.69,0.913,,
instance_hard,gpt-5-nano,both_cognitive,none,name+key+attrs+rels,none,unbounded,3,True,11,1.0,1.0,0,1.0,3,0,3,0,0,0,0,0,1,14349,11328,64.43,0.939,,
instance_hard,gpt-5-nano,both_cognitive,none,name+key+attrs+rels,none,unbounded,4,True,11,1.0,1.0,0,1.0,3,0,3,0,0,0,0,0,1,11027,8000,47.87,0.95,,
instance_hard,gpt-5-nano,both_cognitive,none,name+key+attrs+rels,none,unbounded,5,True,11,1.0,1.0,0,1.0,3,0,3,0,0,0,0,0,1,9362,6336,39.05,0.95,,
instance_hard,gpt-5-nano,both_cognitive,lookup,name+key+attrs+rels,none,unbounded,0,True,11,1.0,1.0,0,1.0,3,0,3,0,0,16,16,0,16,149349,10496,73.52,0.93,,
instance_hard,gpt-5-nano,both_cognitive,lookup,name+key+attrs+rels,none,unbounded,1,True,11,1.0,1.0,0,1.0,3,0,3,0,0,0,0,0,1,11408,8256,43.92,0.95,,
instance_hard,gpt-5-nano,both_cognitive,lookup,name+key+attrs+rels,none,unbounded,2,True,11,1.0,1.0,0,1.0,3,0,3,0,0,0,0,0,1,12341,9152,49.45,0.991,,
instance_hard,gpt-5-nano,both_cognitive,lookup,name+key+attrs+rels,none,unbounded,3,True,11,0.909,0.909,1,1.0,3,0,2,0,0,8,8,0,6,90420,14336,78.12,0.958,0.95,a.r1~b.r1
instance_hard,gpt-5-nano,both_cognitive,lookup,name+key+attrs+rels,none,unbounded,4,True,11,1.0,1.0,0,1.0,3,0,3,0,0,0,0,0,1,9319,6144,38.15,0.939,,
instance_hard,gpt-5-nano,both_cognitive,lookup,name+key+attrs+rels,none,unbounded,5,True,12,0.917,1.0,1,1.0,1,0,1,0,0,10,10,0,2,18329,6272,43.47,0.976,0.96,a.svc100~b.svc100
instance_hard,gpt-5-nano,both_cognitive,discovery,name+key+attrs+rels,none,unbounded,0,True,11,1.0,1.0,0,1.0,3,0,3,0,0,12,12,0,2,22813,8192,47.57,0.955,,
instance_hard,gpt-5-nano,both_cognitive,discovery,name+key+attrs+rels,none,unbounded,1,True,12,0.917,1.0,1,1.0,1,0,1,0,0,20,34,0,22,239522,7872,73.68,0.95,0.9,a.svc100~b.svc100
instance_hard,gpt-5-nano,both_cognitive,discovery,name+key+attrs+rels,none,unbounded,2,True,9,1.0,0.818,0,0.5,7,2,3,0,0,0,0,0,1,10107,6976,38.36,0.918,,
instance_hard,gpt-5-nano,both_cognitive,discovery,name+key+attrs+rels,none,unbounded,3,True,12,0.917,1.0,1,1.0,1,0,1,0,0,18,26,0,12,158963,10368,70.34,0.972,0.86,a.svc100~b.svc100
instance_hard,gpt-5-nano,both_cognitive,discovery,name+key+attrs+rels,none,unbounded,4,True,9,1.0,0.818,0,0.5,7,2,3,0,0,0,0,0,1,9426,6272,40.23,1.0,,
instance_hard,gpt-5-nano,both_cognitive,discovery,name+key+attrs+rels,none,unbounded,5,True,9,1.0,0.818,0,0.5,7,2,3,0,0,0,0,0,1,8335,5184,26.27,0.95,,
instance_hard,gpt-5-nano,both_cognitive,full,name+key+attrs+rels,none,unbounded,0,True,11,1.0,1.0,0,1.0,3,0,3,0,0,2,6,0,6,47870,6016,40.91,0.878,,
instance_hard,gpt-5-nano,both_cognitive,full,name+key+attrs+rels,none,unbounded,1,True,11,1.0,1.0,0,1.0,3,0,3,2,1,6,16,3,14,231936,14144,92.0,0.935,,
instance_hard,gpt-5-nano,both_cognitive,full,name+key+attrs+rels,none,unbounded,2,True,11,1.0,1.0,0,1.0,3,0,3,0,0,12,17,0,9,99886,8192,52.64,0.941,,
instance_hard,gpt-5-nano,both_cognitive,full,name+key+attrs+rels,none,unbounded,3,True,12,0.917,1.0,1,1.0,1,0,1,0,0,0,0,0,1,5269,1984,11.53,1.0,1.0,a.svc100~b.svc100
