case,judge_model,pair,category,trial,expected_same,judged_same,correct,confidence
config_evpn,gpt-5.6-sol,m.cos~e.esi,decoy,0,False,False,1,1.0
config_evpn,gpt-5.6-sol,m.cos~e.esi,decoy,1,False,False,1,1.0
config_evpn,gpt-5.6-sol,m.mtu~e.vendor,decoy,0,False,False,1,0.99
config_evpn,gpt-5.6-sol,m.mtu~e.vendor,decoy,1,False,False,1,0.99
config_evpn,gpt-5.6-sol,m.sla~e.evi,decoy,0,False,False,1,1.0
config_evpn,gpt-5.6-sol,m.sla~e.evi,decoy,1,False,False,1,1.0
config_evpn,gpt-5.6-sol,m.vendor~e.ac,decoy,0,False,False,1,0.99
config_evpn,gpt-5.6-sol,m.vendor~e.ac,decoy,1,False,False,1,0.99
config_evpn,qwen2.5:7b,m.uni~e.ac,gold,0,True,False,0,60.0
config_evpn,qwen2.5:7b,m.uni~e.ac,gold,1,True,False,0,70.0
config_evpn,qwen2.5:7b,m.seg~e.vlan,gold,0,True,False,0,85.0
config_evpn,qwen2.5:7b,m.seg~e.vlan,gold,1,True,False,0,80.0
config_evpn,qwen2.5:7b,m.mtu~e.mtu,gold,0,True,False,0,85.0
config_evpn,qwen2.5:7b,m.mtu~e.mtu,gold,1,True,False,0,70.0
config_evpn,qwen2.5:7b,m.ethsvc~e.evi,gold,0,True,False,0,80.0
config_evpn,qwen2.5:7b,m.ethsvc~e.evi,gold,1,True,False,0,0.85
config_evpn,qwen2.5:7b,m.maclearn~e.maclearn,gold,0,True,False,0,0.85
config_evpn,qwen2.5:7b,m.maclearn~e.maclearn,gold,1,True,False,0,0.75
config_evpn,qwen2.5:7b,m.ep~e.access,gold,0,True,False,0,70.0
config_evpn,qwen2.5:7b,m.ep~e.access,gold,1,True,False,0,60.0
config_evpn,qwen2.5:7b,m.cos~e.tc,gold,0,True,False,0,85.0
config_evpn,qwen2.5:7b,m.cos~e.tc,gold,1,True,False,0,0.85
config_evpn,qwen2.5:7b,m.bwp~e.policer,gold,0,True,False,0,80.0
config_evpn,qwen2.5:7b,m.bwp~e.policer,gold,1,True,False,0,85.0
config_evpn,qwen2.5:7b,m.seg~e.esi,trap,0,False,False,1,0.95
config_evpn,qwen2.5:7b,m.seg~e.esi,trap,1,False,False,1,85.0
config_evpn,qwen2.5:7b,m.maclearn~e.macmob,trap,0,False,False,1,0.85
config_evpn,qwen2.5:7b,m.maclearn~e.macmob,trap,1,False,False,1,0.85
config_evpn,qwen2.5:7b,m.ethsvc~e.vlan,decoy,0,False,False,1,0.85
config_evpn,qwen2.5:7b,m.ethsvc~e.vlan,decoy,1,False,False,1,0.85
config_evpn,qwen2.5:7b,m.uni~e.policer,decoy,0,False,False,1,100.0
config_evpn,qwen2.5:7b,m.uni~e.policer,decoy,1,False,False,1,100.0
config_evpn,qwen2.5:7b,m.ep~e.tc,decoy,0,False,False,1,100.0
config_evpn,qwen2.5:7b,m.ep~e.tc,decoy,1,False,False,1,100.0
config_evpn,qwen2.5:7b,m.seg~e.maclearn,decoy,0,False,False,1,100.0
config_evpn,qwen2.5:7b,m.seg~e.maclearn,decoy,1,False,False,1,90.0
config_evpn,qwen2.5:7b,m.bwp~e.mtu,decoy,0,False,False,1,0.85
config_evpn,qwen2.5:7b,m.bwp~e.mtu,decoy,1,False,False,1,100.0
config_evpn,qwen2.5:7b,m.cos~e.esi,decoy,0,False,False,1,100.0
config_evpn,qwen2.5:7b,m.cos~e.esi,decoy,1,False,False,1,100.0
config_evpn,qwen2.5:7b,m.mtu~e.vendor,decoy,0,False,False,1,0.8555555555555556
config_evpn,qwen2.5:7b,m.mtu~e.vendor,decoy,1,False,False,1,100.0
config_evpn,qwen2.5:7b,m.sla~e.evi,decoy,0,False,False,1,100.0
config_evpn,qwen2.5:7b,m.sla~e.evi,decoy,1,False,False,1,100.0
config_evpn,qwen2.5:7b,m.vendor~e.ac,decoy,0,False,False,1,90.0
config_evpn,qwen2.5:7b,m.vendor~e.ac,decoy,1,False,False,1,100.0
config_evpn,deepseek-chat,m.cos~e.tc,gold,0,True,True,1,0.85
config_evpn,deepseek-chat,m.cos~e.tc,gold,1,True,True,1,0.75
config_evpn,deepseek-chat,m.maclearn~e.maclearn,gold,0,True,True,1,0.85
config_evpn,deepseek-chat,m.maclearn~e.maclearn,gold,1,True,True,1,0.85
config_evpn,deepseek-chat,m.mtu~e.mtu,gold,0,True,False,0,0.85
config_evpn,deepseek-chat,m.mtu~e.mtu,gold,1,True,True,1,0.75
config_evpn,deepseek-chat,m.uni~e.ac,gold,0,True,True,1,0.8
config_evpn,deepseek-chat,m.uni~e.ac,gold,1,True,False,0,0.86
config_evpn,deepseek-chat,m.ethsvc~e.evi,gold,0,True,False,0,0.9
config_evpn,deepseek-chat,m.ethsvc~e.evi,gold,1,True,True,1,0.85
config_evpn,deepseek-chat,m.bwp~e.policer,gold,0,True,True,1,0.8
config_evpn,deepseek-chat,m.bwp~e.policer,gold,1,True,True,1,0.75
config_evpn,deepseek-chat,m.ep~e.access,gold,0,True,True,1,0.8
config_evpn,deepseek-chat,m.ep~e.access,gold,1,True,True,1,0.85
config_evpn,deepseek-chat,m.seg~e.vlan,gold,0,True,True,1,0.85
config_evpn,deepseek-chat,m.seg~e.vlan,gold,1,True,True,1,0.9
config_evpn,deepseek-chat,m.maclearn~e.macmob,trap,0,False,False,1,0.95
config_evpn,deepseek-chat,m.maclearn~e.macmob,trap,1,False,False,1,0.95
config_evpn,deepseek-chat,m.seg~e.esi,trap,0,False,False,1,0.95
config_evpn,deepseek-chat,m.seg~e.esi,trap,1,False,False,1,0.95
config_evpn,deepseek-chat,m.ethsvc~e.vlan,decoy,0,False,False,1,0.85
config_evpn,deepseek-chat,m.ethsvc~e.vlan,decoy,1,False,False,1,0.9
config_evpn,deepseek-chat,m.uni~e.policer,decoy,0,False,False,1,0.97
config_evpn,deepseek-chat,m.uni~e.policer,decoy,1,False,False,1,0.99
config_evpn,deepseek-chat,m.ep~e.tc,decoy,0,False,False,1,0.98
config_evpn,deepseek-chat,m.ep~e.tc,decoy,1,False,False,1,0.97
config_evpn,deepseek-chat,m.seg~e.maclearn,decoy,0,False,False,1,0.97
config_evpn,deepseek-chat,m.seg~e.maclearn,decoy,1,False,False,1,0.97
config_evpn,deepseek-chat,m.bwp~e.mtu,decoy,0,False,False,1,0.97
config_evpn,deepseek-chat,m.bwp~e.mtu,decoy,1,False,False,1,0.97
config_evpn,deepseek-chat,m.cos~e.esi,decoy,0,False,False,1,0.97
config_evpn,deepseek-chat,m.cos~e.esi,decoy,1,False,False,1,0.98
config_evpn,deepseek-chat,m.mtu~e.vendor,decoy,0,False,False,1,0.95
config_evpn,deepseek-chat,m.mtu~e.vendor,decoy,1,False,False,1,0.95
config_evpn,deepseek-chat,m.sla~e.evi,decoy,0,False,False,1,0.95
config_evpn,deepseek-chat,m.sla~e.evi,decoy,1,False,False,1,0.97
config_evpn,deepseek-chat,m.vendor~e.ac,decoy,0,False,False,1,0.95
config_evpn,deepseek-chat,m.vendor~e.ac,decoy,1,False,False,1,0.9
