case,stack,uses_reference,placement,proposed,true_positives,false_positives,false_negatives,surviving_false_cognates,precision,recall,f1,conf_correct_mean,conf_wrong_mean,calibration_gap,brier,confident_errors,confident_error_rate,residual,candidates,bilateral_checks,binding_ops,scaling,total_tokens,reasoning_tokens,latency_s,model
config_vendor_messy,openai-agent(ref),True,one_inert,9,9,0,0,0,1.0,1.0,1.0,0.992,,,0.0,0,0.0,3,9,0,20,~N,3369,216,13.62,gpt-5.6-sol
config_vendor_messy,openai-agent(ref),True,one_inert,9,9,0,0,0,1.0,1.0,1.0,0.982,,,0.0,0,0.0,3,9,0,20,~N,3374,243,12.32,gpt-5.6-sol
config_vendor_messy,openai-agent(ref),True,one_inert,9,9,0,0,0,1.0,1.0,1.0,0.984,,,0.0,0,0.0,3,9,0,20,~N,3363,228,13.62,gpt-5.6-sol
config_vendor_messy,openai-agent(no-ref),False,both_inert,8,8,0,1,0,1.0,0.889,0.941,0.94,,,0.011,0,0.0,4,8,0,0,~N^2,2523,130,11.4,gpt-5.6-sol
config_vendor_messy,openai-agent(no-ref),False,both_inert,7,7,0,2,0,1.0,0.778,0.875,0.946,,,0.006,0,0.0,6,7,0,0,~N^2,2678,383,14.85,gpt-5.6-sol
config_vendor_messy,openai-agent(no-ref),False,both_inert,8,8,0,1,0,1.0,0.889,0.941,0.931,,,0.011,0,0.0,4,8,0,0,~N^2,2843,512,20.91,gpt-5.6-sol
config_vendor_messy,openai-agent(ref),True,both_inert,8,8,0,1,0,1.0,0.889,0.941,0.986,,,0.0,0,0.0,4,8,0,20,~N,3051,115,11.01,gpt-5.6-sol
config_vendor_messy,openai-agent(ref),True,both_inert,9,9,0,0,0,1.0,1.0,1.0,0.977,,,0.001,0,0.0,3,9,0,20,~N,3280,356,14.01,gpt-5.6-sol
config_vendor_messy,openai-agent(ref),True,both_inert,8,8,0,1,0,1.0,0.889,0.941,0.975,,,0.001,0,0.0,4,8,0,20,~N,3162,217,12.79,gpt-5.6-sol
config_vendor_messy,openai-agent(no-ref),False,both_cognitive,8,8,0,1,0,1.0,0.889,0.941,0.925,,,0.007,0,0.0,4,8,0,0,~N^2,3262,832,21.48,gpt-5-mini
config_vendor_messy,openai-agent(no-ref),False,both_cognitive,8,8,0,1,0,1.0,0.889,0.941,0.919,,,0.008,0,0.0,4,8,0,0,~N^2,3266,832,20.92,gpt-5-mini
config_vendor_messy,openai-agent(no-ref),False,both_cognitive,8,8,0,1,0,1.0,0.889,0.941,0.925,,,0.007,0,0.0,4,8,0,0,~N^2,3431,960,22.43,gpt-5-mini
config_vendor_messy,openai-agent(ref),True,both_cognitive,9,9,0,0,0,1.0,1.0,1.0,1.0,,,0.0,0,0.0,3,9,0,20,~N,4468,1280,24.56,gpt-5-mini
config_vendor_messy,openai-agent(ref),True,both_cognitive,9,9,0,0,0,1.0,1.0,1.0,1.0,,,0.0,0,0.0,3,9,0,20,~N,3838,640,17.37,gpt-5-mini
config_vendor_messy,openai-agent(ref),True,both_cognitive,9,9,0,0,0,1.0,1.0,1.0,1.0,,,0.0,0,0.0,3,9,0,20,~N,4029,832,20.97,gpt-5-mini
config_vendor_messy,openai-agent(no-ref),False,one_inert,8,8,0,1,0,1.0,0.889,0.941,0.945,,,0.004,0,0.0,4,8,0,0,~N^2,4052,1280,26.84,gpt-5-mini
config_vendor_messy,openai-agent(no-ref),False,one_inert,8,8,0,1,0,1.0,0.889,0.941,0.944,,,0.003,0,0.0,4,8,0,0,~N^2,3537,896,20.16,gpt-5-mini
config_vendor_messy,openai-agent(no-ref),False,one_inert,8,8,0,1,0,1.0,0.889,0.941,0.944,,,0.003,0,0.0,4,8,0,0,~N^2,4016,1280,23.96,gpt-5-mini
config_vendor_messy,openai-agent(ref),True,one_inert,8,8,0,1,0,1.0,0.889,0.941,0.925,,,0.007,0,0.0,4,8,0,20,~N,4860,1472,24.46,gpt-5-mini
config_vendor_messy,openai-agent(ref),True,one_inert,9,9,0,0,0,1.0,1.0,1.0,0.933,,,0.006,0,0.0,3,9,0,20,~N,5513,2112,33.38,gpt-5-mini
config_vendor_messy,openai-agent(ref),True,one_inert,9,9,0,0,0,1.0,1.0,1.0,0.933,,,0.005,0,0.0,3,9,0,20,~N,4529,1088,20.6,gpt-5-mini
config_vendor_messy,openai-agent(no-ref),False,both_inert,8,8,0,1,0,1.0,0.889,0.941,0.912,,,0.01,0,0.0,4,8,0,0,~N^2,3830,1216,23.72,gpt-5-mini
config_vendor_messy,openai-agent(no-ref),False,both_inert,8,8,0,1,0,1.0,0.889,0.941,0.938,,,0.004,0,0.0,4,8,0,0,~N^2,4115,1472,29.58,gpt-5-mini
config_vendor_messy,openai-agent(no-ref),False,both_inert,8,8,0,1,0,1.0,0.889,0.941,0.925,,,0.006,0,0.0,4,8,0,0,~N^2,3775,1216,23.06,gpt-5-mini
config_vendor_messy,openai-agent(ref),True,both_inert,9,9,0,0,0,1.0,1.0,1.0,0.917,,,0.011,0,0.0,3,9,0,20,~N,5703,2432,47.04,gpt-5-mini
config_vendor_messy,openai-agent(ref),True,both_inert,8,8,0,1,0,1.0,0.889,0.941,0.925,,,0.008,0,0.0,4,8,0,20,~N,4422,1280,27.19,gpt-5-mini
config_vendor_messy,openai-agent(ref),True,both_inert,8,8,0,1,0,1.0,0.889,0.941,0.959,,,0.002,0,0.0,4,8,0,20,~N,4541,1344,26.09,gpt-5-mini
config_vendor_messy,openai-agent(no-ref),False,both_cognitive,8,8,0,1,0,1.0,0.889,0.941,0.882,,,0.018,0,0.0,4,8,0,0,~N^2,4849,2496,19.5,gpt-5-nano
config_vendor_messy,openai-agent(no-ref),False,both_cognitive,8,8,0,1,0,1.0,0.889,0.941,0.89,,,0.013,0,0.0,4,8,0,0,~N^2,6044,3648,26.02,gpt-5-nano
config_vendor_messy,openai-agent(no-ref),False,both_cognitive,8,8,0,1,0,1.0,0.889,0.941,0.906,,,0.009,0,0.0,4,8,0,0,~N^2,5664,3328,25.42,gpt-5-nano
config_vendor_messy,openai-agent(ref),True,both_cognitive,8,8,0,1,0,1.0,0.889,0.941,0.95,,,0.003,0,0.0,4,8,0,20,~N,6585,3520,26.4,gpt-5-nano
config_vendor_messy,openai-agent(ref),True,both_cognitive,8,8,0,1,0,1.0,0.889,0.941,0.95,,,0.003,0,0.0,4,8,0,20,~N,7008,3904,25.99,gpt-5-nano
config_vendor_messy,openai-agent(ref),True,both_cognitive,8,8,0,1,0,1.0,0.889,0.941,0.96,,,0.002,0,0.0,4,8,0,20,~N,7451,4416,31.55,gpt-5-nano
config_vendor_messy,openai-agent(no-ref),False,one_inert,8,8,0,1,0,1.0,0.889,0.941,0.917,,,0.007,0,0.0,4,8,0,0,~N^2,6524,3968,26.95,gpt-5-nano
config_vendor_messy,openai-agent(no-ref),False,one_inert,8,8,0,1,0,1.0,0.889,0.941,0.874,,,0.016,0,0.0,4,8,0,0,~N^2,6305,3776,25.58,gpt-5-nano
config_vendor_messy,openai-agent(no-ref),False,one_inert,8,8,0,1,0,1.0,0.889,0.941,0.859,,,0.021,0,0.0,4,8,0,0,~N^2,6372,3776,25.59,gpt-5-nano
config_vendor_messy,openai-agent(ref),True,one_inert,8,8,0,1,0,1.0,0.889,0.941,0.905,,,0.009,0,0.0,4,8,0,20,~N,9292,6080,38.07,gpt-5-nano
config_vendor_messy,openai-agent(ref),True,one_inert,8,8,0,1,0,1.0,0.889,0.941,0.925,,,0.006,0,0.0,4,8,0,20,~N,9567,6336,41.69,gpt-5-nano
config_vendor_messy,openai-agent(ref),True,one_inert,8,8,0,1,0,1.0,0.889,0.941,0.95,,,0.003,0,0.0,4,8,0,20,~N,7257,4032,31.85,gpt-5-nano
config_vendor_messy,openai-agent(no-ref),False,both_inert,8,8,0,1,0,1.0,0.889,0.941,0.892,,,0.014,0,0.0,4,8,0,0,~N^2,6396,3968,27.89,gpt-5-nano
config_vendor_messy,openai-agent(no-ref),False,both_inert,8,8,0,1,0,1.0,0.889,0.941,0.888,,,0.014,0,0.0,4,8,0,0,~N^2,6993,4480,29.4,gpt-5-nano
config_vendor_messy,openai-agent(no-ref),False,both_inert,8,8,0,1,0,1.0,0.889,0.941,0.884,,,0.014,0,0.0,4,8,0,0,~N^2,6539,4224,27.7,gpt-5-nano
config_vendor_messy,openai-agent(ref),True,both_inert,8,8,0,1,0,1.0,0.889,0.941,0.875,,,0.017,0,0.0,4,8,0,20,~N,7559,4608,32.25,gpt-5-nano
config_vendor_messy,openai-agent(ref),True,both_inert,8,8,0,1,0,1.0,0.889,0.941,0.92,,,0.006,0,0.0,4,8,0,20,~N,8654,5632,37.89,gpt-5-nano
config_vendor_messy,openai-agent(ref),True,both_inert,8,8,0,1,0,1.0,0.889,0.941,0.919,,,0.008,0,0.0,4,8,0,20,~N,8740,5888,39.23,gpt-5-nano
