case,phase,model,placement,reference,trial,submitted,n_intents,satisfaction_correct,satisfaction_accuracy,eo_correct,eo_total,fabricated,feasibility_calls,turns,total_tokens,reasoning_tokens,latency_s
intent_metro,refine,gpt-5.6-sol,both_inert,invariant,0,True,6,4,0.667,0,2,0,0,1,2598,168,4.37
intent_metro,refine,gpt-5.6-sol,both_inert,invariant,1,True,6,4,0.667,0,2,0,0,1,2574,144,4.81
intent_metro,refine,gpt-5-mini,both_cognitive,none,0,True,6,6,1.0,2,2,0,4,2,6452,1280,17.27
intent_metro,refine,gpt-5-mini,both_cognitive,none,1,True,6,6,1.0,2,2,0,7,2,7246,1536,20.1
intent_metro,refine,gpt-5-mini,both_cognitive,unit,0,True,6,5,0.833,1,2,0,3,2,6996,1280,13.74
intent_metro,refine,gpt-5-mini,both_cognitive,unit,1,True,6,6,1.0,2,2,0,6,2,7816,1600,18.14
intent_metro,refine,gpt-5-mini,both_cognitive,invariant,0,True,6,5,0.833,1,2,0,3,2,7374,1152,12.91
intent_metro,refine,gpt-5-mini,both_cognitive,invariant,1,True,6,5,0.833,1,2,0,3,2,8097,1536,15.61
intent_metro,refine,gpt-5-mini,provider_inert,none,0,True,6,4,0.667,0,2,0,0,2,7423,1856,20.65
intent_metro,refine,gpt-5-mini,provider_inert,none,1,True,6,4,0.667,0,2,0,0,2,7067,1792,17.7
intent_metro,refine,gpt-5-mini,provider_inert,unit,0,True,6,4,0.667,0,2,0,0,2,6790,1408,18.03
intent_metro,refine,gpt-5-mini,provider_inert,unit,1,True,6,4,0.667,0,2,0,0,2,7548,1664,20.18
intent_metro,refine,gpt-5-mini,provider_inert,invariant,0,True,6,4,0.667,0,2,0,0,2,7964,1536,21.61
intent_metro,refine,gpt-5-mini,provider_inert,invariant,1,True,6,4,0.667,0,2,0,0,2,8553,1728,19.96
intent_metro,refine,gpt-5-mini,both_inert,none,0,True,6,4,0.667,0,2,0,0,1,3432,1600,15.76
intent_metro,refine,gpt-5-mini,both_inert,none,1,True,6,4,0.667,0,2,0,0,1,3172,1344,14.32
intent_metro,refine,gpt-5-mini,both_inert,unit,0,True,6,4,0.667,0,2,0,0,1,3504,1408,16.38
intent_metro,refine,gpt-5-mini,both_inert,unit,1,True,6,4,0.667,0,2,0,0,1,3476,1344,14.01
intent_metro,refine,gpt-5-mini,both_inert,invariant,0,True,6,4,0.667,0,2,0,0,1,3564,1088,11.68
intent_metro,refine,gpt-5-mini,both_inert,invariant,1,True,6,4,0.667,0,2,0,0,1,3685,1216,12.79
intent_metro,refine,gpt-5-nano,both_cognitive,none,0,True,6,5,0.833,1,2,0,3,2,10276,3520,16.79
intent_metro,refine,gpt-5-nano,both_cognitive,none,1,True,6,5,0.833,1,2,0,3,2,9756,3200,16.33
intent_metro,refine,gpt-5-nano,both_cognitive,unit,0,True,6,5,0.833,1,2,0,5,2,10815,3328,18.6
intent_metro,refine,gpt-5-nano,both_cognitive,unit,1,True,6,5,0.833,1,2,0,3,2,11209,3584,21.92
intent_metro,refine,gpt-5-nano,both_cognitive,invariant,0,True,6,5,0.833,1,2,0,3,2,12114,4032,25.02
intent_metro,refine,gpt-5-nano,both_cognitive,invariant,1,True,6,5,0.833,1,2,0,3,2,10652,2944,16.57
intent_metro,refine,gpt-5-nano,provider_inert,none,0,True,6,4,0.667,0,2,0,0,2,12011,5056,44.37
intent_metro,refine,gpt-5-nano,provider_inert,none,1,True,6,4,0.667,0,2,0,0,2,9982,3904,23.14
intent_metro,refine,gpt-5-nano,provider_inert,unit,0,True,6,4,0.667,0,2,0,0,2,14512,5888,34.28
intent_metro,refine,gpt-5-nano,provider_inert,unit,1,True,6,4,0.667,0,2,0,0,2,11847,4352,18.72
intent_metro,refine,gpt-5-nano,provider_inert,invariant,0,True,6,4,0.667,0,2,0,0,2,16522,6016,34.79
intent_metro,refine,gpt-5-nano,provider_inert,invariant,1,True,6,4,0.667,0,2,0,0,1,5767,3264,15.88
intent_metro,refine,gpt-5-nano,both_inert,none,0,True,6,4,0.667,0,2,0,0,2,10689,3648,23.95
intent_metro,refine,gpt-5-nano,both_inert,none,1,True,6,4,0.667,0,2,0,0,2,10798,3904,17.1
intent_metro,refine,gpt-5-nano,both_inert,unit,0,True,6,4,0.667,0,2,0,0,2,10076,2944,20.58
intent_metro,refine,gpt-5-nano,both_inert,unit,1,True,6,4,0.667,0,2,0,0,2,12384,4288,20.36
intent_metro,refine,gpt-5-nano,both_inert,invariant,0,True,6,4,0.667,0,2,0,0,1,5226,2752,13.0
intent_metro,refine,gpt-5-nano,both_inert,invariant,1,True,6,4,0.667,0,2,0,0,2,12922,4096,18.55
