case,stack,model,uses_reference,uses_experiment,exp_budget,trial,precision,resolved_fraction,surviving_false_cognates,residual,turns,experiments_used,total_tokens,reasoning_tokens,latency_s
config_rest,single/ref,gpt-5.6-sol,True,False,,2,1.0,1.0,0,5,,,2765,0,3.36
config_cross_domain,two-agent/ref,gpt-5-mini,True,False,,0,1.0,1.0,0,5,6,0,46839,14528,357.23
config_cross_domain,two-agent,gpt-5-nano,False,False,,2,0.8,0.8,0,5,12,0,162194,84992,733.58
config_cross_domain,two-agent/ref,gpt-5-mini,True,False,,1,1.0,0.6,0,9,4,0,30720,9856,286.41
config_cross_domain,two-agent/ref,gpt-5-mini,True,False,,2,1.0,0.8,0,7,4,0,28131,7936,275.88
config_cross_domain,single/ref,gpt-5-mini,True,False,,0,1.0,1.0,0,5,,,3087,320,14.37
config_cross_domain,single/ref,gpt-5-mini,True,False,,1,1.0,1.0,0,5,,,3282,512,18.04
config_cross_domain,single/ref,gpt-5-mini,True,False,,2,1.0,1.0,0,5,,,3327,576,17.92
config_big_hard,single,gpt-5-mini,False,False,,0,0.857,1.0,0,3,,,5606,1792,55.4
config_big_hard,single,gpt-5-mini,False,False,,1,0.857,1.0,0,3,,,5767,2048,52.26
config_big_hard,single,gpt-5-mini,False,False,,2,0.917,0.917,0,7,,,5720,2112,51.34
config_cross_domain,two-agent+exp,gpt-5-nano,False,True,6,0,0.75,0.6,1,7,12,6,183383,94528,766.95
config_cross_domain,two-agent+frame,gpt-5.6-sol,False,False,,0,1.0,0.8,0,7,2,0,11560,1468,14.51
config_cross_domain,two-agent+frame,gpt-5.6-sol,False,False,,1,1.0,0.6,0,9,4,0,21466,1997,35.84
config_cross_domain,two-agent+frame,gpt-5.6-sol,False,False,,2,1.0,0.6,0,9,4,0,20952,1406,26.49
config_cross_domain,two-agent+frame+exp,gpt-5.6-sol,False,True,6,0,1.0,1.0,0,5,4,0,20950,1715,22.87
config_big_hard,two-agent,gpt-5-mini,False,False,,0,0.917,0.917,0,7,4,0,45891,12992,393.59
config_cross_domain,two-agent+frame+exp,gpt-5.6-sol,False,True,6,1,1.0,0.8,0,7,4,0,20288,1678,26.13
config_cross_domain,two-agent+frame+exp,gpt-5.6-sol,False,True,6,2,1.0,0.8,0,7,2,0,11413,1135,11.72
config_big_hard,two-agent+frame,gpt-5.6-sol,False,False,,0,0.917,0.917,0,7,2,0,18748,1642,18.42
config_big_hard,two-agent+frame,gpt-5.6-sol,False,False,,1,1.0,1.0,0,7,4,0,32485,1412,27.83
config_big_hard,two-agent+frame,gpt-5.6-sol,False,False,,2,0.923,1.0,0,5,2,0,18382,1372,21.93
config_big_hard,two-agent,gpt-5-mini,False,False,,1,0.857,1.0,0,4,4,0,42400,9152,274.93
config_big_hard,two-agent+frame+exp,gpt-5.6-sol,False,True,15,0,0.923,1.0,0,5,2,0,18748,1700,19.31
config_big_hard,two-agent+frame+exp,gpt-5.6-sol,False,True,15,1,0.923,1.0,0,5,2,0,18747,1355,18.87
config_big_hard,two-agent+frame+exp,gpt-5.6-sol,False,True,15,2,0.923,1.0,0,5,4,0,33746,1631,26.23
config_rest,two-agent+frame,gpt-5.6-sol,False,False,,0,1.0,0.2,0,13,2,0,11731,1159,10.85
config_cross_domain,two-agent+exp,gpt-5-nano,False,True,6,1,0.833,1.0,1,3,12,6,230879,100032,772.76
config_rest,two-agent+frame,gpt-5.6-sol,False,False,,1,1.0,0.2,0,13,4,0,19455,1024,17.05
config_rest,two-agent+frame,gpt-5.6-sol,False,False,,2,1.0,0.2,0,13,2,0,11159,745,9.16
config_rest,two-agent+frame+exp,gpt-5.6-sol,False,True,6,0,1.0,0.2,0,13,4,0,20489,1288,19.12
config_rest,two-agent+frame+exp,gpt-5.6-sol,False,True,6,1,1.0,0.2,0,13,4,1,23380,1570,32.94
config_rest,two-agent+frame+exp,gpt-5.6-sol,False,True,6,2,1.0,0.2,0,13,4,0,20241,1219,20.57
config_big_hard,two-agent,gpt-5-mini,False,False,,2,0.9,0.75,0,11,6,0,73932,20416,541.5
config_big_hard,two-agent+exp,gpt-5-mini,False,True,15,0,0.923,1.0,0,5,4,3,47622,11840,319.79
config_cross_domain,two-agent+exp,gpt-5-nano,False,True,6,2,1.0,1.0,0,5,12,6,219793,106048,786.03
config_big_hard,two-agent+exp,gpt-5-mini,False,True,15,1,0.923,1.0,0,5,4,2,47024,10112,299.95
config_big_hard,two-agent+exp,gpt-5-mini,False,True,15,2,0.923,1.0,0,5,6,2,60849,15744,392.47
config_cross_domain,two-agent/ref,gpt-5-nano,True,False,,0,0.6,0.6,1,5,12,0,183619,84032,698.43
config_cross_domain,two-agent/ref,gpt-5-nano,True,False,,1,0.8,0.8,0,5,12,0,201313,90688,777.61
config_big_hard,two-agent/ref,gpt-5-mini,True,False,,0,0.923,1.0,0,5,12,0,152106,36224,887.47
config_big_hard,two-agent/ref,gpt-5-mini,True,False,,1,0.909,0.833,0,9,4,0,43473,10944,379.61
config_cross_domain,two-agent/ref,gpt-5-nano,True,False,,2,1.0,0.6,0,9,12,0,216198,84992,583.34
config_cross_domain,single/ref,gpt-5-nano,True,False,,0,1.0,1.0,0,5,,,4152,1472,9.93
config_cross_domain,single/ref,gpt-5-nano,True,False,,1,1.0,1.0,0,5,,,4164,1472,10.54
config_cross_domain,single/ref,gpt-5-nano,True,False,,2,1.0,1.0,0,5,,,4644,1920,13.82
config_big_hard,single,gpt-5-nano,False,False,,0,0.857,1.0,1,3,,,7372,3712,27.59
config_big_hard,single,gpt-5-nano,False,False,,1,0.923,1.0,1,5,,,9435,5760,45.48
config_big_hard,single,gpt-5-nano,False,False,,2,0.923,1.0,1,5,,,8164,4544,36.33
config_big_hard,two-agent/ref,gpt-5-mini,True,False,,2,0.923,1.0,0,5,4,0,45103,10240,345.6
config_big_hard,single/ref,gpt-5-mini,True,False,,0,1.0,1.0,0,7,,,5700,832,39.21
config_big_hard,single/ref,gpt-5-mini,True,False,,1,1.0,1.0,0,7,,,6010,1152,76.85
config_big_hard,single/ref,gpt-5-mini,True,False,,2,1.0,1.0,0,7,,,5874,1088,46.45
config_rest,single,gpt-5-mini,False,False,,0,1.0,0.4,0,11,,,3225,1024,23.69
config_rest,single,gpt-5-mini,False,False,,1,1.0,0.2,0,13,,,2958,832,19.55
config_rest,single,gpt-5-mini,False,False,,2,1.0,0.2,0,13,,,2683,576,26.18
config_rest,two-agent,gpt-5-mini,False,False,,0,1.0,0.2,0,13,4,0,31739,10176,270.59
config_big_hard,two-agent,gpt-5-nano,False,False,,0,1.0,0.417,0,21,12,0,218923,103424,689.07
config_rest,two-agent,gpt-5-mini,False,False,,1,1.0,0.4,0,11,4,0,28457,8576,257.47
config_rest,two-agent,gpt-5-mini,False,False,,2,1.0,0.2,0,13,4,0,27204,7488,242.29
config_rest,two-agent+exp,gpt-5-mini,False,True,6,0,0.833,1.0,1,3,4,3,32426,9856,281.21
config_big_hard,two-agent,gpt-5-nano,False,False,,1,0.923,1.0,0,5,12,0,248551,95360,683.94
config_rest,two-agent+exp,gpt-5-mini,False,True,6,1,1.0,0.6,0,9,2,2,12489,3584,131.06
config_rest,two-agent+exp,gpt-5-mini,False,True,6,2,1.0,0.2,0,13,4,1,31798,9088,239.61
config_rest,two-agent/ref,gpt-5-mini,True,False,,0,1.0,0.2,0,13,4,0,29782,7872,248.67
config_big_hard,two-agent,gpt-5-nano,False,False,,2,0.667,0.333,1,19,12,0,198425,92928,705.23
config_rest,two-agent/ref,gpt-5-mini,True,False,,1,1.0,0.6,0,9,4,0,30161,10240,245.81
config_rest,two-agent/ref,gpt-5-mini,True,False,,2,1.0,0.6,0,9,4,0,31672,12096,283.26
config_rest,single/ref,gpt-5-mini,True,False,,0,1.0,1.0,0,5,,,3442,512,16.34
config_rest,single/ref,gpt-5-mini,True,False,,1,1.0,1.0,0,5,,,3259,320,14.17
config_rest,single/ref,gpt-5-mini,True,False,,2,1.0,1.0,0,5,,,3460,512,15.99
config_big_hard,two-agent+exp,gpt-5-nano,False,True,15,0,1.0,0.833,0,11,12,8,243464,106688,862.19
config_big_hard,two-agent+exp,gpt-5-nano,False,True,15,1,1.0,0.833,0,11,12,15,250702,125632,902.11
config_big_hard,two-agent+exp,gpt-5-nano,False,True,15,2,0.833,0.833,2,8,12,14,304695,138176,981.76
config_big_hard,two-agent/ref,gpt-5-nano,True,False,,0,1.0,0.417,0,21,12,0,227369,104192,762.36
config_big_hard,two-agent/ref,gpt-5-nano,True,False,,1,1.0,0.167,0,27,12,0,161597,81856,532.77
config_big_hard,two-agent/ref,gpt-5-nano,True,False,,2,1.0,0.167,0,27,12,0,169255,90816,661.68
config_big_hard,single/ref,gpt-5-nano,True,False,,0,1.0,1.0,0,7,,,8403,3712,27.5
config_big_hard,single/ref,gpt-5-nano,True,False,,1,1.0,1.0,0,7,,,8639,3968,28.69
config_big_hard,single/ref,gpt-5-nano,True,False,,2,1.0,1.0,0,7,,,8591,3968,29.04
config_rest,single,gpt-5-nano,False,False,,0,0.8,0.8,1,5,,,5281,3072,22.21
config_rest,single,gpt-5-nano,False,False,,1,0.833,1.0,1,3,,,4291,1920,15.52
config_rest,single,gpt-5-nano,False,False,,2,0.833,1.0,1,3,,,5279,2880,20.35
config_rest,two-agent,gpt-5-nano,False,False,,0,0.667,0.8,1,4,12,0,191906,86080,519.51
config_rest,two-agent,gpt-5-nano,False,False,,1,0.75,0.6,1,7,12,0,160494,75328,492.24
config_rest,two-agent,gpt-5-nano,False,False,,2,0.75,0.6,1,7,12,0,186892,82816,479.51
config_rest,two-agent+exp,gpt-5-nano,False,True,6,0,1.0,0.4,0,11,12,6,208620,95040,564.6
config_rest,two-agent+exp,gpt-5-nano,False,True,6,1,1.0,0.6,0,9,12,6,165760,81152,500.39
config_rest,two-agent+exp,gpt-5-nano,False,True,6,2,1.0,1.0,0,5,12,6,201860,101504,652.85
config_rest,two-agent/ref,gpt-5-nano,True,False,,0,1.0,0.4,0,11,12,0,191252,64128,439.17
config_rest,two-agent/ref,gpt-5-nano,True,False,,1,0.75,0.6,0,7,12,0,166279,73664,424.12
config_cross_domain,two-agent+frame,gpt-5-mini,False,False,,0,1.0,1.0,0,5,6,0,52319,14976,301.27
config_rest,two-agent/ref,gpt-5-nano,True,False,,2,1.0,0.4,0,11,12,0,143566,69568,400.95
config_rest,single/ref,gpt-5-nano,True,False,,0,1.0,1.0,0,5,,,4164,1280,9.83
config_rest,single/ref,gpt-5-nano,True,False,,1,1.0,1.0,0,5,,,4316,1408,12.17
config_rest,single/ref,gpt-5-nano,True,False,,2,1.0,1.0,0,5,,,4810,1920,14.3
config_cross_domain,two-agent+frame,gpt-5-mini,False,False,,1,1.0,1.0,0,5,6,0,52078,13376,266.94
config_cross_domain,two-agent+frame,gpt-5-mini,False,False,,2,1.0,1.0,0,5,4,0,37402,10880,221.6
config_cross_domain,two-agent+frame+exp,gpt-5-mini,False,True,6,0,1.0,1.0,0,5,4,1,37219,9920,199.21
config_cross_domain,two-agent+frame,gpt-5-nano,False,False,,0,1.0,0.4,0,11,12,0,228174,112320,651.33
config_cross_domain,two-agent+frame+exp,gpt-5-mini,False,True,6,1,1.0,1.0,0,5,6,1,57155,14208,279.74
config_cross_domain,two-agent+frame+exp,gpt-5-mini,False,True,6,2,1.0,1.0,0,5,4,1,36026,11456,182.66
config_big_hard,two-agent+frame,gpt-5-mini,False,False,,0,0.917,0.917,0,7,4,0,55729,15488,287.06
config_big_hard,two-agent+frame,gpt-5-mini,False,False,,1,0.923,1.0,0,5,4,0,53262,13120,265.59
config_big_hard,two-agent+frame,gpt-5-mini,False,False,,2,0.846,0.917,0,6,6,0,78824,18176,346.82
config_big_hard,two-agent+frame+exp,gpt-5-mini,False,True,15,0,0.917,0.917,0,7,4,2,56771,14144,313.34
config_big_hard,two-agent+frame+exp,gpt-5-mini,False,True,15,1,1.0,1.0,0,7,4,3,58489,14336,319.57
config_big_hard,two-agent+frame+exp,gpt-5-mini,False,True,15,2,0.923,1.0,0,5,4,3,61170,14656,351.51
config_rest,two-agent+frame,gpt-5-mini,False,False,,0,1.0,0.2,0,13,4,0,38445,9536,186.96
config_rest,two-agent+frame,gpt-5-mini,False,False,,1,1.0,0.2,0,13,4,0,39566,11712,219.32
config_rest,two-agent+frame,gpt-5-mini,False,False,,2,1.0,0.2,0,13,2,0,21414,6464,117.2
config_rest,two-agent+frame+exp,gpt-5-mini,False,True,6,0,1.0,1.0,0,5,4,5,46381,11328,263.06
config_rest,two-agent+frame+exp,gpt-5-mini,False,True,6,1,1.0,1.0,0,5,4,4,45788,12992,267.06
config_rest,two-agent+frame+exp,gpt-5-mini,False,True,6,2,1.0,1.0,0,5,4,5,46622,14208,366.05
