case,arm,model,intent,policy,trial,offer_id,gold_offer,offer_correct,decision,gold_decision,decision_correct
intent_hard,agent,gpt-5.6-sol,I7,exec,1,r2b,r2b,1,reject,reject,1
intent_hard,agent,gpt-5.6-sol,I7,exec,2,r2b,r2b,1,reject,reject,1
intent_hard,agent,gpt-5.6-sol,I7,resil,0,r2b,r2b,1,reject,reject,1
intent_hard,agent,gpt-5.6-sol,I7,resil,1,r2b,r2b,1,reject,reject,1
intent_hard,agent,gpt-5.6-sol,I7,resil,2,r2b,r2b,1,reject,reject,1
intent_hard,agent,gpt-5.6-sol,I7,bulk,0,r2b,r2b,1,reject,reject,1
intent_hard,agent,gpt-5.6-sol,I7,bulk,1,r2b,r2b,1,reject,reject,1
intent_hard,agent,gpt-5.6-sol,I7,bulk,2,r2b,r2b,1,reject,reject,1
intent_hard,agent,gpt-5-mini,I2,exec,0,r1a,r1a,1,reject,reject,1
intent_hard,agent,gpt-5-mini,I2,exec,1,r1a,r1a,1,reject,reject,1
intent_hard,agent,gpt-5-mini,I2,exec,2,r1a,r1a,1,reject,reject,1
intent_hard,agent,gpt-5-mini,I2,resil,0,r1b,r1b,1,accept,accept,1
intent_hard,agent,gpt-5-mini,I2,resil,1,r1b,r1b,1,accept,accept,1
intent_hard,agent,gpt-5-mini,I2,resil,2,r1b,r1b,1,accept,accept,1
intent_hard,agent,gpt-5-mini,I2,bulk,0,r1a,r1a,1,accept,accept,1
intent_hard,agent,gpt-5-mini,I2,bulk,1,r1a,r1a,1,accept,accept,1
intent_hard,agent,gpt-5-mini,I2,bulk,2,r1a,r1a,1,accept,accept,1
intent_hard,agent,gpt-5-mini,I3,exec,0,r4a,r4a,1,reject,reject,1
intent_hard,agent,gpt-5-mini,I3,exec,1,r4a,r4a,1,reject,reject,1
intent_hard,agent,gpt-5-mini,I3,exec,2,r4a,r4a,1,reject,reject,1
intent_hard,agent,gpt-5-mini,I3,resil,0,r4b,r4b,1,accept,accept,1
intent_hard,agent,gpt-5-mini,I3,resil,1,r4b,r4b,1,accept,accept,1
intent_hard,agent,gpt-5-mini,I3,resil,2,r4b,r4b,1,accept,accept,1
intent_hard,agent,gpt-5-mini,I3,bulk,0,r4a,r4a,1,reject,reject,1
intent_hard,agent,gpt-5-mini,I3,bulk,1,r4a,r4a,1,reject,reject,1
intent_hard,agent,gpt-5-mini,I3,bulk,2,r4a,r4a,1,reject,reject,1
intent_hard,agent,gpt-5-mini,I7,exec,0,r2b,r2b,1,reject,reject,1
intent_hard,agent,gpt-5-mini,I7,exec,1,r2b,r2b,1,reject,reject,1
intent_hard,agent,gpt-5-mini,I7,exec,2,r2b,r2b,1,reject,reject,1
intent_hard,agent,gpt-5-mini,I7,resil,0,r2b,r2b,1,reject,reject,1
intent_hard,agent,gpt-5-mini,I7,resil,1,r2b,r2b,1,reject,reject,1
intent_hard,agent,gpt-5-mini,I7,resil,2,r2b,r2b,1,reject,reject,1
intent_hard,agent,gpt-5-mini,I7,bulk,0,r2b,r2b,1,reject,reject,1
intent_hard,agent,gpt-5-mini,I7,bulk,1,r2b,r2b,1,reject,reject,1
intent_hard,agent,gpt-5-mini,I7,bulk,2,r2b,r2b,1,reject,reject,1
intent_hard,agent,gpt-5-nano,I2,exec,0,r1a,r1a,1,reject,reject,1
intent_hard,agent,gpt-5-nano,I2,exec,1,r1a,r1a,1,reject,reject,1
intent_hard,agent,gpt-5-nano,I2,exec,2,r1a,r1a,1,reject,reject,1
intent_hard,agent,gpt-5-nano,I2,resil,0,r1b,r1b,1,accept,accept,1
intent_hard,agent,gpt-5-nano,I2,resil,1,r1b,r1b,1,accept,accept,1
intent_hard,agent,gpt-5-nano,I2,resil,2,r1b,r1b,1,accept,accept,1
intent_hard,agent,gpt-5-nano,I2,bulk,0,r1a,r1a,1,accept,accept,1
intent_hard,agent,gpt-5-nano,I2,bulk,1,r1b,r1a,0,reject,accept,0
intent_hard,agent,gpt-5-nano,I2,bulk,2,r1a,r1a,1,accept,accept,1
intent_hard,agent,gpt-5-nano,I3,exec,0,r4a,r4a,1,reject,reject,1
intent_hard,agent,gpt-5-nano,I3,exec,1,r4a,r4a,1,reject,reject,1
intent_hard,agent,gpt-5-nano,I3,exec,2,r4a,r4a,1,reject,reject,1
intent_hard,agent,gpt-5-nano,I3,resil,0,r4b,r4b,1,accept,accept,1
intent_hard,agent,gpt-5-nano,I3,resil,1,r4b,r4b,1,accept,accept,1
intent_hard,agent,gpt-5-nano,I3,resil,2,r4b,r4b,1,accept,accept,1
intent_hard,agent,gpt-5-nano,I3,bulk,0,r4a,r4a,1,reject,reject,1
intent_hard,agent,gpt-5-nano,I3,bulk,1,r4a,r4a,1,reject,reject,1
intent_hard,agent,gpt-5-nano,I3,bulk,2,r4a,r4a,1,reject,reject,1
intent_hard,agent,gpt-5-nano,I7,exec,0,r2b,r2b,1,reject,reject,1
intent_hard,agent,gpt-5-nano,I7,exec,1,r2b,r2b,1,reject,reject,1
intent_hard,agent,gpt-5-nano,I7,exec,2,r2b,r2b,1,reject,reject,1
intent_hard,agent,gpt-5-nano,I7,resil,0,r2b,r2b,1,reject,reject,1
intent_hard,agent,gpt-5-nano,I7,resil,1,r2b,r2b,1,reject,reject,1
intent_hard,agent,gpt-5-nano,I7,resil,2,r2b,r2b,1,reject,reject,1
intent_hard,agent,gpt-5-nano,I7,bulk,0,r2b,r2b,1,reject,reject,1
intent_hard,agent,gpt-5-nano,I7,bulk,1,r2b,r2b,1,reject,reject,1
intent_hard,agent,gpt-5-nano,I7,bulk,2,r2b,r2b,1,reject,reject,1
