case,model,placement,reference,trial,submitted,n_fields,authority_correct,authority_accuracy,over_transport,over_ip,shared_missed,fields,reasoning_tokens,latency_s
config_cross_domain,gpt-5.6-sol,both_inert,ref,1,True,5,4,0.8,0,1,0,latency-realized:Y!=X;path-protection:Xok;service-class:Yok;committed-rate:Yok;demarcation:sharedok,257,9.62
config_cross_domain,gpt-5.6-sol,both_inert,ref,2,True,5,4,0.8,0,1,0,latency-realized:Y!=X;path-protection:Xok;service-class:Yok;committed-rate:Yok;demarcation:sharedok,271,9.49
config_cross_domain,gpt-5-mini,both_cognitive,no-ref,0,True,5,2,0.4,2,0,1,latency-realized:Xok;path-protection:Xok;service-class:shared!=Y;committed-rate:X!=Y;demarcation:X!=shared,1088,17.98
config_cross_domain,gpt-5-mini,both_cognitive,no-ref,1,True,5,3,0.6,2,0,1,latency-realized:Xok;path-protection:Xok;service-class:Yok;committed-rate:X!=Y;demarcation:X!=shared,960,17.4
config_cross_domain,gpt-5-mini,both_cognitive,no-ref,2,True,5,2,0.4,2,0,1,latency-realized:Xok;path-protection:Xok;service-class:shared!=Y;committed-rate:X!=Y;demarcation:X!=shared,1472,23.14
config_cross_domain,gpt-5-mini,both_cognitive,ref,0,True,5,3,0.6,1,0,0,latency-realized:Xok;path-protection:Xok;service-class:shared!=Y;committed-rate:X!=Y;demarcation:sharedok,1152,17.82
config_cross_domain,gpt-5-mini,both_cognitive,ref,1,True,5,3,0.6,1,0,0,latency-realized:Xok;path-protection:Xok;service-class:shared!=Y;committed-rate:X!=Y;demarcation:sharedok,1472,22.47
config_cross_domain,gpt-5-mini,both_cognitive,ref,2,True,5,3,0.6,2,0,1,latency-realized:Xok;path-protection:Xok;service-class:Yok;committed-rate:X!=Y;demarcation:X!=shared,1024,17.59
config_cross_domain,gpt-5-mini,one_inert,no-ref,0,True,5,2,0.4,2,0,1,latency-realized:Xok;path-protection:Xok;service-class:shared!=Y;committed-rate:X!=Y;demarcation:X!=shared,1536,30.17
config_cross_domain,gpt-5-mini,one_inert,no-ref,1,True,5,2,0.4,2,0,1,latency-realized:Xok;path-protection:Xok;service-class:shared!=Y;committed-rate:X!=Y;demarcation:X!=shared,960,20.28
config_cross_domain,gpt-5-mini,one_inert,no-ref,2,True,5,2,0.4,2,0,1,latency-realized:Xok;path-protection:Xok;service-class:shared!=Y;committed-rate:X!=Y;demarcation:X!=shared,1024,20.33
config_cross_domain,gpt-5-mini,one_inert,ref,0,True,5,3,0.6,2,0,1,latency-realized:Xok;path-protection:Xok;service-class:Yok;committed-rate:X!=Y;demarcation:X!=shared,1792,25.04
config_cross_domain,gpt-5-mini,one_inert,ref,1,True,5,3,0.6,1,0,0,latency-realized:Xok;path-protection:Xok;service-class:shared!=Y;committed-rate:X!=Y;demarcation:sharedok,1280,18.38
config_cross_domain,gpt-5-mini,one_inert,ref,2,True,5,3,0.6,2,0,1,latency-realized:Xok;path-protection:Xok;service-class:Yok;committed-rate:X!=Y;demarcation:X!=shared,1024,17.94
config_cross_domain,gpt-5-mini,both_inert,no-ref,0,True,5,2,0.4,2,0,1,latency-realized:Xok;path-protection:Xok;service-class:shared!=Y;committed-rate:X!=Y;demarcation:X!=shared,1024,23.53
config_cross_domain,gpt-5-mini,both_inert,no-ref,1,True,5,3,0.6,2,0,1,latency-realized:Xok;path-protection:Xok;service-class:Yok;committed-rate:X!=Y;demarcation:X!=shared,1088,23.04
config_cross_domain,gpt-5-mini,both_inert,no-ref,2,True,5,2,0.4,2,0,1,latency-realized:Xok;path-protection:Xok;service-class:shared!=Y;committed-rate:X!=Y;demarcation:X!=shared,832,16.93
config_cross_domain,gpt-5-mini,both_inert,ref,0,True,5,5,1.0,0,0,0,latency-realized:Xok;path-protection:Xok;service-class:Yok;committed-rate:Yok;demarcation:sharedok,1280,20.85
config_cross_domain,gpt-5-mini,both_inert,ref,1,True,5,4,0.8,0,1,0,latency-realized:Y!=X;path-protection:Xok;service-class:Yok;committed-rate:Yok;demarcation:sharedok,1472,22.2
config_cross_domain,gpt-5-mini,both_inert,ref,2,True,5,5,1.0,0,0,0,latency-realized:Xok;path-protection:Xok;service-class:Yok;committed-rate:Yok;demarcation:sharedok,1536,24.01
config_cross_domain,gpt-5-nano,both_cognitive,no-ref,0,True,5,4,0.8,1,0,0,latency-realized:Xok;path-protection:Xok;service-class:Yok;committed-rate:X!=Y;demarcation:sharedok,2880,21.0
config_cross_domain,gpt-5-nano,both_cognitive,no-ref,1,True,5,4,0.8,1,0,0,latency-realized:Xok;path-protection:Xok;service-class:Yok;committed-rate:X!=Y;demarcation:sharedok,4096,27.82
config_cross_domain,gpt-5-nano,both_cognitive,no-ref,2,True,5,3,0.6,0,0,0,latency-realized:Xok;path-protection:Xok;service-class:shared!=Y;committed-rate:shared!=Y;demarcation:sharedok,2880,19.87
config_cross_domain,gpt-5-nano,both_cognitive,ref,0,True,5,5,1.0,0,0,0,latency-realized:Xok;path-protection:Xok;service-class:Yok;committed-rate:Yok;demarcation:sharedok,4096,28.69
config_cross_domain,gpt-5-nano,both_cognitive,ref,1,True,5,5,1.0,0,0,0,latency-realized:Xok;path-protection:Xok;service-class:Yok;committed-rate:Yok;demarcation:sharedok,4736,35.31
config_cross_domain,gpt-5-nano,both_cognitive,ref,2,True,5,5,1.0,0,0,0,latency-realized:Xok;path-protection:Xok;service-class:Yok;committed-rate:Yok;demarcation:sharedok,3712,26.92
config_cross_domain,gpt-5-nano,one_inert,no-ref,0,True,5,2,0.4,2,0,1,latency-realized:Xok;path-protection:Xok;service-class:shared!=Y;committed-rate:X!=Y;demarcation:X!=shared,3072,20.85
config_cross_domain,gpt-5-nano,one_inert,no-ref,1,True,5,4,0.8,1,0,0,latency-realized:Xok;path-protection:Xok;service-class:Yok;committed-rate:X!=Y;demarcation:sharedok,3648,26.72
config_cross_domain,gpt-5-nano,one_inert,no-ref,2,True,5,4,0.8,1,0,1,latency-realized:Xok;path-protection:Xok;service-class:Yok;committed-rate:Yok;demarcation:X!=shared,2688,21.74
config_cross_domain,gpt-5-nano,one_inert,ref,0,True,5,4,0.8,1,0,0,latency-realized:Xok;path-protection:Xok;service-class:Yok;committed-rate:X!=Y;demarcation:sharedok,3520,26.62
config_cross_domain,gpt-5-nano,one_inert,ref,1,True,5,3,0.6,0,0,0,latency-realized:Xok;path-protection:Xok;service-class:shared!=Y;committed-rate:shared!=Y;demarcation:sharedok,3904,27.18
config_cross_domain,gpt-5-nano,one_inert,ref,2,True,5,5,1.0,0,0,0,latency-realized:Xok;path-protection:Xok;service-class:Yok;committed-rate:Yok;demarcation:sharedok,2432,23.99
config_cross_domain,gpt-5-nano,both_inert,no-ref,0,True,5,3,0.6,1,0,0,latency-realized:Xok;path-protection:Xok;service-class:shared!=Y;committed-rate:X!=Y;demarcation:sharedok,3648,26.88
config_cross_domain,gpt-5-nano,both_inert,no-ref,1,True,5,5,1.0,0,0,0,latency-realized:Xok;path-protection:Xok;service-class:Yok;committed-rate:Yok;demarcation:sharedok,2944,21.09
config_cross_domain,gpt-5-nano,both_inert,no-ref,2,True,5,3,0.6,0,0,0,latency-realized:Xok;path-protection:Xok;service-class:shared!=Y;committed-rate:shared!=Y;demarcation:sharedok,3008,23.08
config_cross_domain,gpt-5-nano,both_inert,ref,0,True,5,4,0.8,0,0,0,latency-realized:Xok;path-protection:Xok;service-class:shared!=Y;committed-rate:Yok;demarcation:sharedok,2880,21.2
config_cross_domain,gpt-5-nano,both_inert,ref,1,True,5,5,1.0,0,0,0,latency-realized:Xok;path-protection:Xok;service-class:Yok;committed-rate:Yok;demarcation:sharedok,4864,37.18
config_cross_domain,gpt-5-nano,both_inert,ref,2,True,5,3,0.6,1,0,0,latency-realized:Xok;path-protection:Xok;service-class:shared!=Y;committed-rate:X!=Y;demarcation:sharedok,2944,21.54
