case,model,placement,cell,uses_reference,explanation,class,structure,instances,n_fields,trial,precision,recall,surviving_false_cognates,residual,reasoning_tokens,surviving_traps
config_big_hard,gpt-5.6-sol,both_cognitive,class+structure,False,0,1,1,0,2,5,0.923,1.0,0,5,1205,
config_big_hard,gpt-5.6-sol,both_cognitive,class+structure+instances,False,0,1,1,1,3,0,0.923,1.0,0,5,1370,
config_big_hard,gpt-5.6-sol,both_cognitive,class+structure+instances,False,0,1,1,1,3,1,0.917,0.917,0,7,1683,
config_big_hard,gpt-5.6-sol,both_cognitive,class+structure+instances,False,0,1,1,1,3,2,0.909,0.833,0,9,1101,
config_big_hard,gpt-5.6-sol,both_cognitive,class+structure+instances,False,0,1,1,1,3,3,0.909,0.833,0,9,2244,
config_big_hard,gpt-5.6-sol,both_cognitive,class+structure+instances,False,0,1,1,1,3,4,0.917,0.917,0,7,956,
config_big_hard,gpt-5.6-sol,both_cognitive,class+structure+instances,False,0,1,1,1,3,5,0.909,0.833,0,9,1499,
config_big_hard,gpt-5.6-sol,both_cognitive,explanation,False,1,0,0,0,1,0,0.923,1.0,0,5,840,
config_big_hard,gpt-5.6-sol,both_cognitive,explanation,False,1,0,0,0,1,1,0.923,1.0,0,5,810,
config_big_hard,gpt-5.6-sol,both_cognitive,explanation,False,1,0,0,0,1,2,0.923,1.0,0,5,1897,
config_big_hard,gpt-5.6-sol,both_cognitive,explanation,False,1,0,0,0,1,3,1.0,0.667,0,15,2311,
config_big_hard,gpt-5.6-sol,both_cognitive,explanation,False,1,0,0,0,1,4,1.0,0.833,0,11,2681,
config_big_hard,gpt-5.6-sol,both_cognitive,explanation,False,1,0,0,0,1,5,0.923,1.0,0,5,855,
config_big_hard,gpt-5.6-sol,both_cognitive,explanation+instances,False,1,0,0,1,2,0,0.917,0.917,0,7,1134,
config_big_hard,gpt-5.6-sol,both_cognitive,explanation+instances,False,1,0,0,1,2,1,0.917,0.917,0,7,1285,
config_big_hard,gpt-5.6-sol,both_cognitive,explanation+instances,False,1,0,0,1,2,2,0.917,0.917,0,7,1403,
config_big_hard,gpt-5.6-sol,both_cognitive,explanation+instances,False,1,0,0,1,2,3,0.917,0.917,0,7,1497,
config_big_hard,gpt-5.6-sol,both_cognitive,explanation+instances,False,1,0,0,1,2,4,0.917,0.917,0,7,1075,
config_big_hard,gpt-5.6-sol,both_cognitive,explanation+instances,False,1,0,0,1,2,5,0.917,0.917,0,7,486,
config_big_hard,gpt-5.6-sol,both_cognitive,explanation+structure,False,1,0,1,0,2,0,0.923,1.0,0,5,1579,
config_big_hard,gpt-5.6-sol,both_cognitive,explanation+structure,False,1,0,1,0,2,1,1.0,0.667,0,15,2764,
config_big_hard,gpt-5.6-sol,both_cognitive,explanation+structure,False,1,0,1,0,2,2,0.923,1.0,0,5,954,
config_big_hard,gpt-5.6-sol,both_cognitive,explanation+structure,False,1,0,1,0,2,3,0.923,1.0,0,5,1835,
config_big_hard,gpt-5.6-sol,both_cognitive,explanation+structure,False,1,0,1,0,2,4,0.923,1.0,0,5,1789,
config_big_hard,gpt-5.6-sol,both_cognitive,explanation+structure,False,1,0,1,0,2,5,0.923,1.0,0,5,1297,
config_big_hard,gpt-5.6-sol,both_cognitive,explanation+structure+instances,False,1,0,1,1,3,0,1.0,0.75,0,13,2214,
config_big_hard,gpt-5.6-sol,both_cognitive,explanation+structure+instances,False,1,0,1,1,3,1,0.917,0.917,0,7,2865,
config_big_hard,gpt-5.6-sol,both_cognitive,explanation+structure+instances,False,1,0,1,1,3,2,1.0,0.833,0,11,1497,
config_big_hard,gpt-5.6-sol,both_cognitive,explanation+structure+instances,False,1,0,1,1,3,3,0.917,0.917,0,7,1601,
config_big_hard,gpt-5.6-sol,both_cognitive,explanation+structure+instances,False,1,0,1,1,3,4,1.0,0.833,0,11,1943,
config_big_hard,gpt-5.6-sol,both_cognitive,explanation+structure+instances,False,1,0,1,1,3,5,0.917,0.917,0,7,1452,
config_big_hard,gpt-5.6-sol,both_cognitive,explanation+class,False,1,1,0,0,2,0,1.0,1.0,0,7,1179,
config_big_hard,gpt-5.6-sol,both_cognitive,explanation+class,False,1,1,0,0,2,1,0.917,0.917,0,7,1023,
config_big_hard,gpt-5.6-sol,both_cognitive,explanation+class,False,1,1,0,0,2,2,1.0,0.917,0,9,1345,
config_big_hard,gpt-5.6-sol,both_cognitive,explanation+class,False,1,1,0,0,2,3,1.0,0.75,0,13,1685,
config_big_hard,gpt-5.6-sol,both_cognitive,explanation+class,False,1,1,0,0,2,4,1.0,0.917,0,9,2300,
config_big_hard,gpt-5.6-sol,both_cognitive,explanation+class,False,1,1,0,0,2,5,1.0,0.833,0,11,1654,
config_big_hard,gpt-5.6-sol,both_cognitive,explanation+class+instances,False,1,1,0,1,3,0,0.917,0.917,0,7,932,
config_big_hard,gpt-5.6-sol,both_cognitive,explanation+class+instances,False,1,1,0,1,3,1,1.0,0.917,0,9,548,
config_big_hard,gpt-5.6-sol,both_cognitive,explanation+class+instances,False,1,1,0,1,3,2,1.0,0.917,0,9,1437,
config_big_hard,gpt-5.6-sol,both_cognitive,explanation+class+instances,False,1,1,0,1,3,3,1.0,0.917,0,9,810,
config_big_hard,gpt-5.6-sol,both_cognitive,explanation+class+instances,False,1,1,0,1,3,4,1.0,0.917,0,9,776,
config_big_hard,gpt-5.6-sol,both_cognitive,explanation+class+instances,False,1,1,0,1,3,5,0.917,0.917,0,7,726,
config_big_hard,gpt-5.6-sol,both_cognitive,explanation+class+structure,False,1,1,1,0,3,0,0.923,1.0,0,5,1623,
config_big_hard,gpt-5.6-sol,both_cognitive,explanation+class+structure,False,1,1,1,0,3,1,1.0,0.917,0,9,1024,
config_big_hard,gpt-5.6-sol,both_cognitive,explanation+class+structure,False,1,1,1,0,3,2,1.0,0.917,0,9,1209,
config_big_hard,gpt-5.6-sol,both_cognitive,explanation+class+structure,False,1,1,1,0,3,3,1.0,0.917,0,9,1725,
config_big_hard,gpt-5.6-sol,both_cognitive,explanation+class+structure,False,1,1,1,0,3,4,1.0,0.917,0,9,1332,
config_big_hard,gpt-5.6-sol,both_cognitive,explanation+class+structure,False,1,1,1,0,3,5,1.0,0.917,0,9,1660,
config_big_hard,gpt-5.6-sol,both_cognitive,explanation+class+structure+instances,False,1,1,1,1,4,0,1.0,0.917,0,9,1735,
config_big_hard,gpt-5.6-sol,both_cognitive,explanation+class+structure+instances,False,1,1,1,1,4,1,0.917,0.917,0,7,1713,
config_big_hard,gpt-5.6-sol,both_cognitive,explanation+class+structure+instances,False,1,1,1,1,4,2,0.917,0.917,0,7,1938,
config_big_hard,gpt-5.6-sol,both_cognitive,explanation+class+structure+instances,False,1,1,1,1,4,3,0.917,0.917,0,7,2019,
config_big_hard,gpt-5.6-sol,both_cognitive,explanation+class+structure+instances,False,1,1,1,1,4,4,0.917,0.917,0,7,1802,
config_big_hard,gpt-5.6-sol,both_cognitive,explanation+class+structure+instances,False,1,1,1,1,4,5,1.0,0.917,0,9,1171,
config_big_hard,gpt-5-mini,both_cognitive,lexical-only,False,0,0,0,0,0,0,0.9,0.75,0,11,1856,
config_big_hard,gpt-5-mini,both_cognitive,lexical-only,False,0,0,0,0,0,1,0.9,0.75,0,11,1920,
config_big_hard,gpt-5-mini,both_cognitive,lexical-only,False,0,0,0,0,0,2,0.9,0.75,0,11,2304,
config_big_hard,gpt-5-mini,both_cognitive,lexical-only,False,0,0,0,0,0,3,0.889,0.667,0,13,1536,
config_big_hard,gpt-5-mini,both_cognitive,lexical-only,False,0,0,0,0,0,4,0.833,0.833,1,7,2432,t.sgrade~i.sclass
config_big_hard,gpt-5-mini,both_cognitive,lexical-only,False,0,0,0,0,0,5,0.909,0.833,0,9,2176,
config_big_hard,gpt-5-mini,both_cognitive,instances,False,0,0,0,1,1,0,0.923,1.0,0,5,1920,
config_big_hard,gpt-5-mini,both_cognitive,instances,False,0,0,0,1,1,1,0.923,1.0,0,5,2048,
config_big_hard,gpt-5-mini,both_cognitive,instances,False,0,0,0,1,1,2,0.923,1.0,0,5,1600,
config_big_hard,gpt-5-mini,both_cognitive,instances,False,0,0,0,1,1,3,0.857,1.0,0,3,1984,
config_big_hard,gpt-5-mini,both_cognitive,instances,False,0,0,0,1,1,4,0.857,1.0,0,3,2432,
config_big_hard,gpt-5-mini,both_cognitive,instances,False,0,0,0,1,1,5,0.923,1.0,0,5,2176,
config_big_hard,gpt-5-mini,both_cognitive,structure,False,0,0,1,0,1,0,0.769,0.833,1,5,2048,t.sgrade~i.sclass
config_big_hard,gpt-5-mini,both_cognitive,structure,False,0,0,1,0,1,1,0.909,0.833,0,9,1664,
config_big_hard,gpt-5-mini,both_cognitive,structure,False,0,0,1,0,1,2,0.9,0.75,0,11,2112,
config_big_hard,gpt-5-mini,both_cognitive,structure,False,0,0,1,0,1,3,0.909,0.833,0,9,2560,
config_big_hard,gpt-5-mini,both_cognitive,structure,False,0,0,1,0,1,4,0.9,0.75,0,11,2176,
config_big_hard,gpt-5-mini,both_cognitive,structure,False,0,0,1,0,1,5,0.909,0.833,0,9,2688,
config_big_hard,gpt-5-mini,both_cognitive,structure+instances,False,0,0,1,1,2,0,0.857,1.0,0,3,1792,
config_big_hard,gpt-5-mini,both_cognitive,structure+instances,False,0,0,1,1,2,1,0.857,1.0,0,3,1856,
config_big_hard,gpt-5-mini,both_cognitive,structure+instances,False,0,0,1,1,2,2,0.857,1.0,0,3,1728,
config_big_hard,gpt-5-mini,both_cognitive,structure+instances,False,0,0,1,1,2,3,0.923,1.0,0,5,1856,
config_big_hard,gpt-5-mini,both_cognitive,structure+instances,False,0,0,1,1,2,4,0.857,1.0,0,3,2432,
config_big_hard,gpt-5-mini,both_cognitive,structure+instances,False,0,0,1,1,2,5,0.857,1.0,0,3,1664,
config_big_hard,gpt-5-mini,both_cognitive,class,False,0,1,0,0,1,0,0.923,1.0,0,5,1728,
config_big_hard,gpt-5-mini,both_cognitive,class,False,0,1,0,0,1,1,0.923,1.0,0,5,1280,
config_big_hard,gpt-5-mini,both_cognitive,class,False,0,1,0,0,1,2,0.923,1.0,0,5,1792,
config_big_hard,gpt-5-mini,both_cognitive,class,False,0,1,0,0,1,3,0.923,1.0,0,5,1664,
config_big_hard,gpt-5-mini,both_cognitive,class,False,0,1,0,0,1,4,0.923,1.0,0,5,1920,
config_big_hard,gpt-5-mini,both_cognitive,class,False,0,1,0,0,1,5,0.923,1.0,0,5,1600,
config_big_hard,gpt-5-mini,both_cognitive,class+instances,False,0,1,0,1,2,0,0.857,1.0,0,3,2112,
config_big_hard,gpt-5-mini,both_cognitive,class+instances,False,0,1,0,1,2,1,0.857,1.0,0,3,1408,
config_big_hard,gpt-5-mini,both_cognitive,class+instances,False,0,1,0,1,2,2,1.0,1.0,0,7,1536,
config_big_hard,gpt-5-mini,both_cognitive,class+instances,False,0,1,0,1,2,3,0.923,1.0,0,5,1280,
config_big_hard,gpt-5-mini,both_cognitive,class+instances,False,0,1,0,1,2,4,0.923,1.0,0,5,1728,
config_big_hard,gpt-5-mini,both_cognitive,class+instances,False,0,1,0,1,2,5,0.923,1.0,0,5,1664,
config_big_hard,gpt-5-mini,both_cognitive,class+structure,False,0,1,1,0,2,0,0.857,1.0,0,3,1984,
config_big_hard,gpt-5-mini,both_cognitive,class+structure,False,0,1,1,0,2,1,0.923,1.0,0,5,1664,
config_big_hard,gpt-5-mini,both_cognitive,class+structure,False,0,1,1,0,2,2,0.923,1.0,0,5,2176,
config_big_hard,gpt-5-mini,both_cognitive,class+structure,False,0,1,1,0,2,3,0.857,1.0,1,3,1536,t.sgrade~i.sclass
config_big_hard,gpt-5-mini,both_cognitive,class+structure,False,0,1,1,0,2,4,0.923,1.0,0,5,1344,
config_big_hard,gpt-5-mini,both_cognitive,class+structure,False,0,1,1,0,2,5,0.923,1.0,0,5,1792,
config_big_hard,gpt-5-mini,both_cognitive,class+structure+instances,False,0,1,1,1,3,0,0.857,1.0,0,3,1536,
config_big_hard,gpt-5-mini,both_cognitive,class+structure+instances,False,0,1,1,1,3,1,0.857,1.0,0,3,1472,
config_big_hard,gpt-5-mini,both_cognitive,class+structure+instances,False,0,1,1,1,3,2,0.923,1.0,0,5,1856,
config_big_hard,gpt-5-mini,both_cognitive,class+structure+instances,False,0,1,1,1,3,3,0.857,1.0,0,3,1728,
config_big_hard,gpt-5-mini,both_cognitive,class+structure+instances,False,0,1,1,1,3,4,0.923,1.0,0,5,1280,
config_big_hard,gpt-5-mini,both_cognitive,class+structure+instances,False,0,1,1,1,3,5,0.923,1.0,0,5,1472,
config_big_hard,gpt-5-mini,both_cognitive,explanation,False,1,0,0,0,1,0,0.923,1.0,0,5,2368,
config_big_hard,gpt-5-mini,both_cognitive,explanation,False,1,0,0,0,1,1,0.857,1.0,0,3,1472,
config_big_hard,gpt-5-mini,both_cognitive,explanation,False,1,0,0,0,1,2,0.917,0.917,0,7,1536,
config_big_hard,gpt-5-mini,both_cognitive,explanation,False,1,0,0,0,1,3,0.857,1.0,0,3,2240,
config_big_hard,gpt-5-mini,both_cognitive,explanation,False,1,0,0,0,1,4,0.923,1.0,0,5,2432,
config_big_hard,gpt-5-mini,both_cognitive,explanation,False,1,0,0,0,1,5,0.857,1.0,0,3,1920,
config_big_hard,gpt-5-mini,both_cognitive,explanation+instances,False,1,0,0,1,2,0,0.917,0.917,0,7,1664,
config_big_hard,gpt-5-mini,both_cognitive,explanation+instances,False,1,0,0,1,2,1,0.833,0.833,0,7,1984,
config_big_hard,gpt-5-mini,both_cognitive,explanation+instances,False,1,0,0,1,2,2,0.857,1.0,0,3,1536,
config_big_hard,gpt-5-mini,both_cognitive,explanation+instances,False,1,0,0,1,2,3,0.917,0.917,0,7,1664,
config_big_hard,gpt-5-mini,both_cognitive,explanation+instances,False,1,0,0,1,2,4,0.923,1.0,0,5,2176,
config_big_hard,gpt-5-mini,both_cognitive,explanation+instances,False,1,0,0,1,2,5,0.846,0.917,0,5,1728,
config_big_hard,gpt-5-mini,both_cognitive,explanation+structure,False,1,0,1,0,2,0,0.833,0.833,0,7,1664,
config_big_hard,gpt-5-mini,both_cognitive,explanation+structure,False,1,0,1,0,2,1,0.857,1.0,0,3,2304,
config_big_hard,gpt-5-mini,both_cognitive,explanation+structure,False,1,0,1,0,2,2,0.833,0.833,0,7,1984,
config_big_hard,gpt-5-mini,both_cognitive,explanation+structure,False,1,0,1,0,2,3,0.846,0.917,0,5,1920,
config_big_hard,gpt-5-mini,both_cognitive,explanation+structure,False,1,0,1,0,2,4,0.846,0.917,0,5,2048,
config_big_hard,gpt-5-mini,both_cognitive,explanation+structure,False,1,0,1,0,2,5,0.8,1.0,1,1,1984,t.sgrade~i.sclass
config_big_hard,gpt-5-mini,both_cognitive,explanation+structure+instances,False,1,0,1,1,3,0,0.846,0.917,0,5,1728,
config_big_hard,gpt-5-mini,both_cognitive,explanation+structure+instances,False,1,0,1,1,3,1,0.909,0.833,0,9,1664,
config_big_hard,gpt-5-mini,both_cognitive,explanation+structure+instances,False,1,0,1,1,3,2,0.846,0.917,0,5,2240,
config_big_hard,gpt-5-mini,both_cognitive,explanation+structure+instances,False,1,0,1,1,3,3,0.833,0.833,0,7,2304,
config_big_hard,gpt-5-mini,both_cognitive,explanation+structure+instances,False,1,0,1,1,3,4,0.833,0.833,0,7,1920,
config_big_hard,gpt-5-mini,both_cognitive,explanation+structure+instances,False,1,0,1,1,3,5,0.909,0.833,0,9,1408,
config_big_hard,gpt-5-mini,both_cognitive,explanation+class,False,1,1,0,0,2,0,0.923,1.0,0,5,1728,
config_big_hard,gpt-5-mini,both_cognitive,explanation+class,False,1,1,0,0,2,1,0.857,1.0,0,3,2304,
config_big_hard,gpt-5-mini,both_cognitive,explanation+class,False,1,1,0,0,2,2,0.923,1.0,0,5,1664,
config_big_hard,gpt-5-mini,both_cognitive,explanation+class,False,1,1,0,0,2,3,0.923,1.0,0,5,2048,
config_big_hard,gpt-5-mini,both_cognitive,explanation+class,False,1,1,0,0,2,4,0.923,1.0,0,5,1856,
config_big_hard,gpt-5-mini,both_cognitive,explanation+class,False,1,1,0,0,2,5,0.923,1.0,0,5,1856,
config_big_hard,gpt-5-mini,both_cognitive,explanation+class+instances,False,1,1,0,1,3,0,0.857,1.0,0,3,1664,
config_big_hard,gpt-5-mini,both_cognitive,explanation+class+instances,False,1,1,0,1,3,1,0.846,0.917,0,5,1792,
config_big_hard,gpt-5-mini,both_cognitive,explanation+class+instances,False,1,1,0,1,3,2,0.846,0.917,0,5,1536,
config_big_hard,gpt-5-mini,both_cognitive,explanation+class+instances,False,1,1,0,1,3,3,0.8,1.0,1,1,2176,t.sgrade~i.sclass
config_big_hard,gpt-5-mini,both_cognitive,explanation+class+instances,False,1,1,0,1,3,4,0.923,1.0,0,5,1792,
config_big_hard,gpt-5-mini,both_cognitive,explanation+class+instances,False,1,1,0,1,3,5,0.857,1.0,0,3,1792,
config_big_hard,gpt-5-mini,both_cognitive,explanation+class+structure,False,1,1,1,0,3,0,0.846,0.917,0,5,1664,
config_big_hard,gpt-5-mini,both_cognitive,explanation+class+structure,False,1,1,1,0,3,1,0.917,0.917,0,7,1600,
config_big_hard,gpt-5-mini,both_cognitive,explanation+class+structure,False,1,1,1,0,3,2,0.917,0.917,0,7,2176,
config_big_hard,gpt-5-mini,both_cognitive,explanation+class+structure,False,1,1,1,0,3,3,0.846,0.917,0,5,1792,
config_big_hard,gpt-5-mini,both_cognitive,explanation+class+structure,False,1,1,1,0,3,4,0.917,0.917,0,7,1856,
config_big_hard,gpt-5-mini,both_cognitive,explanation+class+structure,False,1,1,1,0,3,5,0.917,0.917,0,7,2176,
config_big_hard,gpt-5-mini,both_cognitive,explanation+class+structure+instances,False,1,1,1,1,4,0,0.846,0.917,0,5,1792,
config_big_hard,gpt-5-mini,both_cognitive,explanation+class+structure+instances,False,1,1,1,1,4,1,0.857,1.0,0,3,1728,
config_big_hard,gpt-5-mini,both_cognitive,explanation+class+structure+instances,False,1,1,1,1,4,2,0.846,0.917,0,5,2048,
config_big_hard,gpt-5-mini,both_cognitive,explanation+class+structure+instances,False,1,1,1,1,4,3,0.857,1.0,0,3,1664,
config_big_hard,gpt-5-mini,both_cognitive,explanation+class+structure+instances,False,1,1,1,1,4,4,0.857,1.0,0,3,2240,
config_big_hard,gpt-5-mini,both_cognitive,explanation+class+structure+instances,False,1,1,1,1,4,5,0.857,1.0,0,3,1664,
config_big_hard,gpt-5-nano,both_cognitive,lexical-only,False,0,0,0,0,0,0,1.0,0.667,0,15,4160,
config_big_hard,gpt-5-nano,both_cognitive,lexical-only,False,0,0,0,0,0,1,1.0,0.667,0,15,3264,
config_big_hard,gpt-5-nano,both_cognitive,lexical-only,False,0,0,0,0,0,2,0.889,0.667,0,13,4224,
config_big_hard,gpt-5-nano,both_cognitive,lexical-only,False,0,0,0,0,0,3,1.0,0.667,0,15,3968,
config_big_hard,gpt-5-nano,both_cognitive,lexical-only,False,0,0,0,0,0,4,1.0,0.667,0,15,5248,
config_big_hard,gpt-5-nano,both_cognitive,lexical-only,False,0,0,0,0,0,5,0.8,0.667,0,11,5440,
config_big_hard,gpt-5-nano,both_cognitive,instances,False,0,0,0,1,1,0,0.692,0.75,1,5,9024,t.sgrade~i.sclass
config_big_hard,gpt-5-nano,both_cognitive,instances,False,0,0,0,1,1,1,0.889,0.667,1,13,6080,t.sgrade~i.sclass
config_big_hard,gpt-5-nano,both_cognitive,instances,False,0,0,0,1,1,2,0.75,0.75,1,7,5440,t.sgrade~i.sclass
config_big_hard,gpt-5-nano,both_cognitive,instances,False,0,0,0,1,1,3,0.8,0.667,1,11,4800,t.sgrade~i.sclass
config_big_hard,gpt-5-nano,both_cognitive,instances,False,0,0,0,1,1,4,0.75,0.75,1,8,5376,t.sgrade~i.sclass
config_big_hard,gpt-5-nano,both_cognitive,instances,False,0,0,0,1,1,5,0.75,0.75,1,7,6080,t.sgrade~i.sclass
config_big_hard,gpt-5-nano,both_cognitive,structure,False,0,0,1,0,1,0,1.0,0.75,0,13,7232,
config_big_hard,gpt-5-nano,both_cognitive,structure,False,0,0,1,0,1,1,1.0,0.75,0,13,6912,
config_big_hard,gpt-5-nano,both_cognitive,structure,False,0,0,1,0,1,2,1.0,0.667,0,15,5696,
config_big_hard,gpt-5-nano,both_cognitive,structure,False,0,0,1,0,1,3,1.0,0.75,0,13,5824,
config_big_hard,gpt-5-nano,both_cognitive,structure,False,0,0,1,0,1,4,1.0,0.667,0,15,6592,
config_big_hard,gpt-5-nano,both_cognitive,structure,False,0,0,1,0,1,5,1.0,0.667,0,15,6144,
config_big_hard,gpt-5-nano,both_cognitive,structure+instances,False,0,0,1,1,2,0,0.818,0.75,0,9,7296,
config_big_hard,gpt-5-nano,both_cognitive,structure+instances,False,0,0,1,1,2,1,0.889,0.667,1,13,7680,t.sgrade~i.sclass
config_big_hard,gpt-5-nano,both_cognitive,structure+instances,False,0,0,1,1,2,2,0.9,0.75,1,11,7488,t.sgrade~i.sclass
config_big_hard,gpt-5-nano,both_cognitive,structure+instances,False,0,0,1,1,2,3,0.889,0.667,1,13,5760,t.sgrade~i.sclass
config_big_hard,gpt-5-nano,both_cognitive,structure+instances,False,0,0,1,1,2,4,0.889,0.667,1,13,6272,t.sgrade~i.sclass
config_big_hard,gpt-5-nano,both_cognitive,structure+instances,False,0,0,1,1,2,5,0.909,0.833,1,9,7872,t.sgrade~i.sclass
config_big_hard,gpt-5-nano,both_cognitive,class,False,0,1,0,0,1,0,0.923,1.0,0,5,7552,
config_big_hard,gpt-5-nano,both_cognitive,class,False,0,1,0,0,1,1,0.923,1.0,0,5,4992,
config_big_hard,gpt-5-nano,both_cognitive,class,False,0,1,0,0,1,2,1.0,1.0,0,7,5504,
config_big_hard,gpt-5-nano,both_cognitive,class,False,0,1,0,0,1,3,0.857,1.0,1,3,4800,t.sgrade~i.sclass
config_big_hard,gpt-5-nano,both_cognitive,class,False,0,1,0,0,1,4,0.857,1.0,1,3,4864,t.sgrade~i.sclass
config_big_hard,gpt-5-nano,both_cognitive,class,False,0,1,0,0,1,5,1.0,0.75,0,13,5440,
config_big_hard,gpt-5-nano,both_cognitive,class+instances,False,0,1,0,1,2,0,0.846,0.917,1,5,4992,t.sgrade~i.sclass
config_big_hard,gpt-5-nano,both_cognitive,class+instances,False,0,1,0,1,2,1,0.857,1.0,1,3,4544,t.sgrade~i.sclass
config_big_hard,gpt-5-nano,both_cognitive,class+instances,False,0,1,0,1,2,2,0.769,0.833,1,5,5440,t.sgrade~i.sclass
config_big_hard,gpt-5-nano,both_cognitive,class+instances,False,0,1,0,1,2,3,0.833,0.833,1,7,6016,t.sgrade~i.sclass
config_big_hard,gpt-5-nano,both_cognitive,class+instances,False,0,1,0,1,2,4,0.8,1.0,1,1,9152,t.sgrade~i.sclass
