case,model,placement,reference_variant,evidence,budget,trial,submitted,proposed,precision,recall,surviving_instance_fc,experiment_only_recall,residual_total,residual_experiment_only,residual_native,confirmed_provision,refuted_provision,interrogated,interrogate_calls,provision_calls,turns,total_tokens,reasoning_tokens,latency_s,mean_conf_correct,mean_conf_incorrect,surviving_traps
instance_hard,gpt-5-nano,both_cognitive,none,name,12,0,True,0,0.0,0.0,0,0.0,25,4,3,0,1,4,8,1,12,55791,5952,55.04,,,
instance_hard,gpt-5-nano,both_cognitive,none,name,12,1,True,2,0.0,0.0,2,0.0,21,4,0,0,0,4,12,0,11,63453,5760,49.11,,0.95,a.r1~b.r1;a.svc100~b.svc100
instance_hard,gpt-5-nano,both_cognitive,none,name,12,2,True,0,0.0,0.0,0,0.0,25,4,3,0,1,4,11,1,11,48343,3776,36.2,,,
instance_hard,gpt-5-nano,one_inert,none,name+key+attrs+rels,12,0,True,11,1.0,1.0,0,1.0,3,0,3,0,1,0,0,1,2,19005,6656,40.8,0.939,,
instance_hard,gpt-5-nano,one_inert,none,name+key+attrs+rels,12,1,True,12,0.75,0.818,1,1.0,1,0,1,0,0,4,4,0,2,21323,7936,42.74,0.892,0.867,a.svc100~b.svc100
instance_hard,gpt-5-nano,one_inert,none,name+key+attrs+rels,12,2,True,9,1.0,0.818,0,0.5,7,2,3,0,0,2,2,0,2,23840,9856,60.87,0.95,,
instance_hard,gpt-5-nano,one_inert,none,name+attrs+rels,12,0,True,7,1.0,0.636,0,0.5,11,2,3,0,0,7,12,0,10,106201,8768,60.77,0.95,,
instance_hard,gpt-5-nano,one_inert,none,name+attrs+rels,12,1,True,11,1.0,1.0,0,1.0,3,0,3,0,0,4,4,0,2,20529,7680,40.63,0.93,,
instance_hard,gpt-5-nano,one_inert,none,name+attrs+rels,12,2,True,1,1.0,0.091,0,0.0,23,4,3,1,0,0,0,1,2,24302,10176,51.66,0.95,,
instance_hard,gpt-5-nano,one_inert,none,key+attrs+rels,12,0,True,11,1.0,1.0,0,1.0,3,0,3,0,0,0,0,0,1,11727,8640,44.73,0.95,,
instance_hard,gpt-5-nano,one_inert,none,key+attrs+rels,12,1,True,9,1.0,0.818,0,0.5,7,2,3,0,0,2,2,0,2,22416,8320,42.74,0.97,,
instance_hard,gpt-5-nano,one_inert,none,key+attrs+rels,12,2,True,12,0.75,0.818,1,1.0,1,0,1,0,0,2,2,0,2,31111,12800,65.3,0.928,0.95,a.svc100~b.svc100
instance_hard,gpt-5-nano,one_inert,none,name+key,12,0,True,8,0.875,0.636,1,0.0,9,4,1,0,0,0,0,0,1,5962,4352,23.35,0.98,0.92,a.svc100~b.svc100
instance_hard,gpt-5-nano,one_inert,none,name+key,12,1,True,8,0.875,0.636,1,0.0,9,4,1,1,0,5,10,1,8,76950,9408,56.39,0.979,0.8,a.svc100~b.svc100
instance_hard,gpt-5-nano,one_inert,none,name+key,12,2,True,2,1.0,0.182,0,0.5,21,2,3,2,1,0,0,3,2,13450,6016,33.78,0.99,,
instance_hard,gpt-5-nano,one_inert,none,attrs+rels,12,0,True,4,1.0,0.364,0,0.0,17,4,3,2,0,2,2,2,3,34746,10048,55.2,0.925,,
instance_hard,gpt-5-nano,one_inert,none,attrs+rels,12,1,True,11,1.0,1.0,0,1.0,3,0,3,2,1,2,4,3,6,79327,11392,64.96,0.99,,
instance_hard,gpt-5-nano,one_inert,none,attrs+rels,12,2,True,9,0.778,0.636,0,1.0,7,0,3,0,1,4,4,1,6,54953,8896,58.28,0.897,0.9,
instance_hard,gpt-5-nano,one_inert,none,name,12,0,True,4,0.5,0.182,2,0.5,17,2,0,0,1,0,0,1,2,12865,6400,36.95,0.85,0.925,a.r1~b.r1;a.svc100~b.svc100
instance_hard,gpt-5-nano,one_inert,none,name,12,1,True,0,0.0,0.0,0,0.0,25,4,3,0,1,2,4,1,6,40108,6272,43.44,,,
instance_hard,gpt-5-nano,one_inert,none,name,12,2,False,0,0.0,0.0,0,0.0,25,4,3,0,1,6,11,1,9,79288,8704,67.81,,,
instance_hard,gpt-5-nano,both_inert,none,name+key+attrs+rels,12,0,True,11,1.0,1.0,0,1.0,3,0,3,0,0,0,0,0,1,11271,8064,54.55,0.874,,
instance_hard,gpt-5-nano,both_inert,none,name+key+attrs+rels,12,1,True,11,1.0,1.0,0,1.0,3,0,3,0,0,0,0,0,1,9813,6592,42.75,0.87,,
instance_hard,gpt-5-nano,both_inert,none,name+key+attrs+rels,12,2,True,11,1.0,1.0,0,1.0,3,0,3,0,0,0,0,0,1,9308,6080,40.32,0.92,,
instance_hard,gpt-5-nano,both_inert,none,name+attrs+rels,12,0,True,11,1.0,1.0,0,1.0,3,0,3,0,0,0,0,0,1,10992,7872,47.06,0.934,,
instance_hard,gpt-5-nano,both_inert,none,name+attrs+rels,12,1,True,11,1.0,1.0,0,1.0,3,0,3,0,0,0,0,0,1,9961,6848,39.78,0.893,,
instance_hard,gpt-5-nano,both_inert,none,name+attrs+rels,12,2,True,11,1.0,1.0,0,1.0,3,0,3,0,0,0,0,0,1,10370,7296,40.2,0.932,,
instance_hard,gpt-5-nano,both_inert,none,key+attrs+rels,12,0,True,7,1.0,0.636,0,0.0,11,4,3,0,0,0,0,0,1,7469,4544,27.46,0.95,,
instance_hard,gpt-5-nano,both_inert,none,key+attrs+rels,12,1,True,11,1.0,1.0,0,1.0,3,0,3,0,0,0,0,0,1,11431,8448,46.08,0.813,,
instance_hard,gpt-5-nano,both_inert,none,key+attrs+rels,12,2,True,11,1.0,1.0,0,1.0,3,0,3,0,0,0,0,0,1,8705,5696,33.66,0.905,,
instance_hard,gpt-5-nano,both_inert,none,name+key,12,0,True,10,0.9,0.818,1,0.5,5,2,1,0,0,0,0,0,1,5524,4032,25.27,0.872,0.95,a.svc100~b.svc100
instance_hard,gpt-5-nano,both_inert,none,name+key,12,1,True,7,1.0,0.636,0,0.0,11,4,3,0,0,0,0,0,1,3942,2432,17.58,0.95,,
instance_hard,gpt-5-nano,both_inert,none,name+key,12,2,True,10,0.9,0.818,1,0.5,5,2,1,0,0,0,0,0,1,7160,5632,35.99,0.907,0.9,a.svc100~b.svc100
instance_hard,gpt-5-nano,both_inert,none,attrs+rels,12,0,True,11,1.0,1.0,0,1.0,3,0,3,0,0,0,0,0,1,10750,7872,46.34,0.855,,
instance_hard,gpt-5-nano,both_inert,none,attrs+rels,12,1,True,9,1.0,0.818,0,0.5,7,2,3,0,0,0,0,0,1,9024,6144,37.89,0.95,,
instance_hard,gpt-5-nano,both_inert,none,attrs+rels,12,2,True,11,1.0,1.0,0,1.0,3,0,3,0,0,0,0,0,1,7534,4672,28.19,0.92,,
instance_hard,gpt-5-nano,both_inert,none,name,12,0,True,2,0.0,0.0,2,0.0,21,4,0,0,0,0,0,0,1,3381,2048,14.26,,0.935,a.r1~b.r1;a.svc100~b.svc100
instance_hard,gpt-5-nano,both_inert,none,name,12,1,True,2,0.0,0.0,2,0.0,21,4,0,0,0,0,0,0,1,4960,3648,27.03,,0.935,a.r1~b.r1;a.svc100~b.svc100
instance_hard,gpt-5-nano,both_inert,none,name,12,2,True,2,0.0,0.0,2,0.0,21,4,0,0,0,0,0,0,1,4062,2752,17.72,,0.935,a.r1~b.r1;a.svc100~b.svc100
